voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13068389892578;-0.000006767033028154401,1.7015826969668524e-8,-0.0023212882224470377,-0.012452268972992897;3.4297431561469693e-10,0.22355611622333527,0.03011445142328739,-0.49806874990463257;0.40225064754486084,-0.12250978499650955,0.03575960174202919,-0.045138582587242126
;-84.13286590576172;-0.0000067706801019085106,1.6990641782399507e-8,-0.002322837943211198,-0.0123972212895751;3.424711070287856e-10,0.2235487848520279,0.02996828407049179,-0.4976377785205841;0.40193241834640503,-0.12251780182123184,0.03573797643184662,-0.04513919726014137
;-84.13504791259766;-0.000006774283519916935,1.696548501683992e-8,-0.002324384870007634,-0.012342429719865322;3.4196825926535723e-10,0.2235415279865265,0.029822764918208122,-0.4972139894962311;0.4016140401363373,-0.12252571433782578,0.03571669012308121,-0.04513981565833092
;-84.13721466064453;-0.000006777864655305166,1.6940422398192823e-8,-0.0023259290028363466,-0.012287882156670094;3.4146746541452444e-10,0.2235342562198639,0.029678000137209892,-0.4968087375164032;0.4012966752052307,-0.12253334373235703,0.03569629043340683,-0.045140426605939865
;-84.1393814086914;-0.000006781438059988432,1.6915455702815052e-8,-0.002327472437173128,-0.01223357766866684;3.4096878098743844e-10,0.2235269993543625,0.02953399159014225,-0.49637946486473083;0.4009801745414734,-0.12254133820533752,0.035674724727869034,-0.04514103755354881
;-84.14154815673828;-0.0000067849673541786615,1.6890513876433033e-8,-0.002329012844711542,-0.012179524637758732;3.404704018716842e-10,0.2235197126865387,0.029390618205070496,-0.49595290422439575;0.4006635546684265,-0.12254931032657623,0.03565327823162079,-0.04514165222644806
;-84.14371490478516;-0.0000067884479904023465,1.6865600471760445e-8,-0.002330551389604807,-0.012125718407332897;3.3997235582283736e-10,0.22351248562335968,0.029247881844639778,-0.4955306351184845;0.4003468155860901,-0.12255720049142838,0.03563203662633896,-0.04514226317405701
;-84.14586639404297;-0.000006791923169657821,1.6840779437643505e-8,-0.002332087140530348,-0.012072152458131313;3.394759195973762e-10,0.22350524365901947,0.029105892404913902,-0.4951067864894867;0.40003103017807007,-0.1225651353597641,0.035610705614089966,-0.045142874121665955
;-84.14801788330078;-0.0000067953751567984,1.6816050774082214e-8,-0.002333622192963958,-0.01201882679015398;3.3898206464044733e-10,0.22349803149700165,0.02896464616060257,-0.4947033226490021;0.39971619844436646,-0.12257274985313416,0.035590361803770065,-0.045143481343984604
;-84.15016174316406;-0.000006798783942940645,1.6791348755873514e-8,-0.002335154917091131,-0.011965743266046047;3.384884872392746e-10,0.2234908789396286,0.02882401831448078,-0.4942885637283325;0.3994012176990509,-0.12258053570985794,0.035569459199905396,-0.045144084841012955
;-84.15229797363281;-0.000006802210918976925,1.676681016249404e-8,-0.002336685312911868,-0.011912886053323746;3.379987123519612e-10,0.22348372638225555,0.028684239834547043,-0.4938753843307495;0.3990883529186249,-0.12258830666542053,0.035548631101846695,-0.045144688338041306
;-84.15443420410156;-0.0000068056065174459945,1.6742298214467155e-8,-0.002338214311748743,-0.011860272847115993;3.375092705315552e-10,0.22347652912139893,0.02854507975280285,-0.4934594929218292;0.39877527952194214,-0.12259611487388611,0.035527657717466354,-0.045145295560359955
;-84.15657043457031;-0.00000680894390825415,1.67178146881497e-8,-0.002339741447940469,-0.011807901784777641;3.370201617780566e-10,0.22346937656402588,0.02840653620660305,-0.4930417537689209;0.3984621465206146,-0.12260395288467407,0.03550659492611885,-0.04514589533209801
;-84.15869903564453;-0.000006812235824327217,1.669335780718484e-8,-0.0023412660229951143,-0.011755770072340965;3.365309142466799e-10,0.22346217930316925,0.02826860547065735,-0.49261799454689026;0.3981488049030304,-0.1226118877530098,0.03548522666096687,-0.045146502554416656
;-84.16082000732422;-0.000006815545475546969,1.6669059021978683e-8,-0.0023427887354046106,-0.011703867465257645;3.360459133183724e-10,0.2234550565481186,0.028131509199738503,-0.4921954870223999;0.3978375196456909,-0.12261981517076492,0.035463910549879074,-0.04514709860086441
;-84.1629409790039;-0.000006818830115662422,1.6644788658481957e-8,-0.002344310050830245,-0.011652200482785702;3.355612454569723e-10,0.22344794869422913,0.027995022013783455,-0.4917897880077362;0.39752620458602905,-0.12262745946645737,0.035443417727947235,-0.04514770209789276
;-84.1650619506836;-0.0000068220524553908035,1.6620543163980983e-8,-0.002345828339457512,-0.011600769124925137;3.3507682739575273e-10,0.22344081103801727,0.027859138324856758,-0.4913678765296936;0.3972146809101105,-0.1226353868842125,0.03542211279273033,-0.045148298144340515
;-84.16718292236328;-0.000006825245691288728,1.659632609118944e-8,-0.0023473447654396296,-0.011549574322998524;3.345923260678063e-10,0.2234336882829666,0.027723856270313263,-0.4909554123878479;0.39690297842025757,-0.12264316529035568,0.03540126234292984,-0.045148901641368866
;-84.1692886352539;-0.000006828409368608845,1.6572197836239866e-8,-0.002348858630284667,-0.011498607695102692;3.3411023947493845e-10,0.22342659533023834,0.027589287608861923,-0.4905460774898529;0.39659228920936584,-0.1226508840918541,0.03538055717945099,-0.04514949768781662
;-84.17139434814453;-0.000006831580776633928,1.654816195184594e-8,-0.0023503710981458426,-0.011447867378592491;3.33630290061393e-10,0.22341951727867126,0.027455415576696396,-0.49013859033584595;0.3962826132774353,-0.12265858799219131,0.0353599414229393,-0.045150090008974075
