voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;4.9843244552612305;-1.1636233697518567e-15,0.012059911154210567,-1.0382561683654785,0.30473560094833374;0.045357462018728256,0.38279569149017334,0.196184903383255,-0.07324870675802231;0.01474058534950018,-0.06341509521007538,0.0587862990796566,-0.01939750835299492
;4.945775032043457;-1.188112786322873e-15,0.012070958502590656,-1.037732720375061,0.3053019940853119;0.045057471841573715,0.38277509808540344,0.196518212556839,-0.0732913538813591;0.01479114219546318,-0.06344620883464813,0.05875372886657715,-0.019408682361245155
;4.907057762145996;-1.2132256191430685e-15,0.012082093395292759,-1.0372073650360107,0.3058680295944214;0.04475810378789902,0.38275447487831116,0.19685228168964386,-0.07333840429782867;0.01484207808971405,-0.0634773001074791,0.0587216317653656,-0.019419901072978973
;4.868173122406006;-1.2389815617284668e-15,0.012093312107026577,-1.0366801023483276,0.3064330816268921;0.044459350407123566,0.38273367285728455,0.1971871554851532,-0.07338493317365646;0.01489342749118805,-0.06350855529308319,0.05868929997086525,-0.01943117193877697
;4.829120635986328;-1.2653972371006578e-15,0.012104617431759834,-1.0361508131027222,0.30699801445007324;0.04416125640273094,0.38271281123161316,0.19752275943756104,-0.07343340665102005;0.014945179224014282,-0.06353987753391266,0.05865708738565445,-0.019442489370703697
;4.789899826049805;-1.292493609325086e-15,0.012116010300815105,-1.0356193780899048,0.3075619339942932;0.04386383295059204,0.3826918303966522,0.19785916805267334,-0.07348047196865082;0.01499731745570898,-0.06357138603925705,0.0586245059967041,-0.019453855231404305
;4.7505106925964355;-1.3202880425771703e-15,0.012127488851547241,-1.0350862741470337,0.3081253170967102;0.04356705769896507,0.3826707601547241,0.19819635152816772,-0.07353171706199646;0.015049864538013935,-0.06360289454460144,0.05859236791729927,-0.01946527138352394
;4.710953235626221;-1.348802030317947e-15,0.01213905494660139,-1.0345507860183716,0.3086884617805481;0.04327097535133362,0.3826495409011841,0.19853433966636658,-0.07358488440513611;0.0151028111577034,-0.0636344701051712,0.0585603341460228,-0.01947673410177231
;4.671226978302002;-1.3780571718875713e-15,0.012150706723332405,-1.0340135097503662,0.30925026535987854;0.04297557845711708,0.38262826204299927,0.1988731026649475,-0.07363912463188171;0.015156177803874016,-0.06366614252328873,0.058528296649456024,-0.019488248974084854
;4.631331920623779;-1.4080726314064746e-15,0.012162444181740284,-1.033474326133728,0.3098118007183075;0.04268089681863785,0.3826068341732025,0.1992126852273941,-0.07369410991668701;0.01520996168255806,-0.0636979341506958,0.058496203273534775,-0.01949980854988098
;4.5912675857543945;-1.4388722316762987e-15,0.012174267321825027,-1.0329331159591675,0.31037309765815735;0.04238693043589592,0.3825853168964386,0.19955305755138397,-0.07375044375658035;0.015264156274497509,-0.06372981518507004,0.05846413969993591,-0.019511422142386436
;4.551034450531006;-1.4704784190701457e-15,0.012186174280941486,-1.0323898792266846,0.31093305349349976;0.042093683034181595,0.38256368041038513,0.1998942494392395,-0.07380544394254684;0.015318773686885834,-0.0637618899345398,0.05843174085021019,-0.019523082301020622
;4.5106306076049805;-1.5029145928731834e-15,0.012198170647025108,-1.0318448543548584,0.3114927113056183;0.041801173239946365,0.3825419545173645,0.2002362757921219,-0.07386217266321182;0.015373802743852139,-0.06379403918981552,0.05839941278100014,-0.019534790888428688
;4.470057010650635;-1.5362061640738296e-15,0.01221025176346302,-1.0312978029251099,0.3120521605014801;0.04150940850377083,0.38252004981040955,0.20057912170886993,-0.07392038404941559;0.015429279766976833,-0.06382628530263901,0.05836714059114456,-0.019546551629900932
;4.4293131828308105;-1.5703786495396203e-15,0.012222419492900372,-1.0307488441467285,0.3126101791858673;0.04121840000152588,0.3824981153011322,0.20092278718948364,-0.07398011535406113;0.015485171228647232,-0.06385861337184906,0.058334920555353165,-0.019558358937501907
;4.388399124145508;-1.6054559779513154e-15,0.012234671041369438,-1.0301978588104248,0.31316763162612915;0.04092816263437271,0.3824760317802429,0.2012673169374466,-0.07404129952192307;0.015541506931185722,-0.06389103829860687,0.05830274894833565,-0.01957021653652191
;4.34731388092041;-1.6414680072203056e-15,0.012247010134160519,-1.0296450853347778,0.31372469663619995;0.040638700127601624,0.38245388865470886,0.2016126662492752,-0.07410352677106857;0.015598285011947155,-0.06392355263233185,0.05827056244015694,-0.019582124426960945
;4.306057929992676;-1.6784390895438245e-15,0.012259435839951038,-1.0290900468826294,0.31428131461143494;0.04035002738237381,0.38243162631988525,0.20195886492729187,-0.07416614145040512;0.015655485913157463,-0.06395620852708817,0.05823826789855957,-0.01959408074617386
;4.264630317687988;-1.7164013062947493e-15,0.012271946296095848,-1.0285335779190063,0.3148365020751953;0.040062159299850464,0.3824092149734497,0.2023058831691742,-0.07422987371683121;0.015713153406977654,-0.06398896127939224,0.0582059808075428,-0.019606085494160652
