voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.04350280761719;-0.000006645400844718097,1.8086224073954327e-8,-0.002249829936772585,-0.015053512528538704;3.6429750882582823e-10,0.22343133389949799,0.036398712545633316,-0.5105139017105103;0.41561657190322876,-0.1222662553191185,0.03637981042265892,-0.045131854712963104
;-84.0458984375;-0.000006650004706898471,1.8057825457162835e-8,-0.002251462545245886,-0.014986771158874035;3.6373046241600093e-10,0.2234233170747757,0.03622141107916832,-0.510058581829071;0.4152739644050598,-0.12227462977170944,0.036357197910547256,-0.045132532715797424
;-84.04829406738281;-0.000006654544904449722,1.8029458814794452e-8,-0.002253092359751463,-0.014920330606400967;3.6316380458423225e-10,0.22341525554656982,0.036044891923666,-0.5096151232719421;0.414931058883667,-0.12228284031152725,0.03633514791727066,-0.045133210718631744
;-84.05067443847656;-0.000006659061909886077,1.8001195201122755e-8,-0.00225471961311996,-0.014854186214506626;3.625993116873616e-10,0.22340722382068634,0.035869285464286804,-0.5091847777366638;0.4145891070365906,-0.12229084968566895,0.03631371259689331,-0.04513388127088547
;-84.05305480957031;-0.000006663548901997274,1.7973025734363546e-8,-0.0022563450038433075,-0.014788337983191013;3.620370392365402e-10,0.22339923679828644,0.035694584250450134,-0.5087504982948303;0.41424816846847534,-0.12229892611503601,0.03629208356142044,-0.04513455927371979
;-84.05543518066406;-0.000006667993602604838,1.7944893571097964e-8,-0.0022579682990908623,-0.014722788706421852;3.614752108749286e-10,0.22339127957820892,0.03552065044641495,-0.5082984566688538;0.413906991481781,-0.12230727076530457,0.036269593983888626,-0.04513523355126381
;-84.05780029296875;-0.00000667240647089784,1.791685910745855e-8,-0.002259588800370693,-0.014657529070973396;3.609155474482151e-10,0.2233833223581314,0.03534760698676109,-0.5078564286231995;0.4135667681694031,-0.12231545895338058,0.03624758869409561,-0.04513590410351753
;-84.06016540527344;-0.000006676792963844491,1.788892589615898e-8,-0.002261207904666662,-0.014592560939490795;3.603581322231264e-10,0.22337539494037628,0.03517546504735947,-0.5074118375778198;0.41322746872901917,-0.12232369184494019,0.036225441843271255,-0.04513657093048096
;-84.0625228881836;-0.000006681136255792808,1.786102643563936e-8,-0.0022628246806561947,-0.014527889899909496;3.598010223093695e-10,0.22336748242378235,0.03500407561659813,-0.5069747567176819;0.4128879904747009,-0.12233181297779083,0.03620364889502525,-0.04513724148273468
;-84.06488037109375;-0.000006685453172394773,1.7833226451102746e-8,-0.002264439594000578,-0.014463505707681179;3.5924616059723746e-10,0.22335956990718842,0.034833572804927826,-0.5065355896949768;0.4125494658946991,-0.12233997881412506,0.036181747913360596,-0.045137908309698105
;-84.06723022460938;-0.000006689747351629194,1.7805527718905978e-8,-0.002266051946207881,-0.014399411156773567;3.58692991975218e-10,0.22335170209407806,0.03466394916176796,-0.5060998201370239;0.4122118055820465,-0.12234808504581451,0.03616000711917877,-0.04513857141137123
;-84.06957244873047;-0.000006693981958960649,1.777785740841864e-8,-0.002267662435770035,-0.014335607178509235;3.581406837760426e-10,0.22334381937980652,0.034495074301958084,-0.5056729912757874;0.41187402606010437,-0.12235605716705322,0.03613867610692978,-0.045139238238334656
;-84.07190704345703;-0.000006698235665680841,1.7750357628187885e-8,-0.0022692703641951084,-0.014272080734372139;3.5759237237975583e-10,0.22333599627017975,0.034327197819948196,-0.5052478909492493;0.411538302898407,-0.12236400693655014,0.03611743077635765,-0.045139897614717484
;-84.0742416381836;-0.00000670243662170833,1.7722891598737078e-8,-0.0022708766628056765,-0.014208847656846046;3.570444495615277e-10,0.22332818806171417,0.0341600626707077,-0.5047942399978638;0.41120240092277527,-0.12237238138914108,0.03609480708837509,-0.04514056071639061
;-84.07657623291016;-0.00000670658664603252,1.769545576735254e-8,-0.0022724808659404516,-0.014145903289318085;3.564964157209971e-10,0.22332030534744263,0.033993665128946304,-0.5043498873710632;0.4108663499355316,-0.12238062918186188,0.03607262298464775,-0.04514122009277344
;-84.07891082763672;-0.000006710668003506726,1.7668055463104793e-8,-0.0022740820422768593,-0.01408324670046568;3.559492423033106e-10,0.22331251204013824,0.0338280014693737,-0.5039108991622925;0.41053012013435364,-0.1223888024687767,0.03605068102478981,-0.045141879469156265
;-84.08123779296875;-0.0000067147102527087554,1.7640683580566474e-8,-0.002275680424645543,-0.014020876958966255;3.554024019525315e-10,0.22330468893051147,0.0336630679666996,-0.5034777522087097;0.4101937413215637,-0.12239689379930496,0.03602900728583336,-0.04514253884553909
;-84.08355712890625;-0.000006718765689583961,1.761347512285738e-8,-0.0022772757802158594,-0.01395877730101347;3.5485911431543116e-10,0.22329695522785187,0.03349911794066429,-0.5030500888824463;0.40985941886901855,-0.12240489572286606,0.036007605493068695,-0.045143190771341324
;-84.08587646484375;-0.000006722767011524411,1.7586300415928235e-8,-0.002278870204463601,-0.013896963559091091;3.543166593455993e-10,0.2232891470193863,0.033335886895656586,-0.5026204586029053;0.4095248281955719,-0.12241292744874954,0.03598608076572418,-0.04514385014772415
;-84.08818054199219;-0.000006726745596097317,1.7559226961338936e-8,-0.0022804616019129753,-0.01383542362600565;3.5377634155508986e-10,0.2232813835144043,0.03317350521683693,-0.5022045969963074;0.4091913402080536,-0.12242075800895691,0.03596523031592369,-0.04514450207352638
;-84.09048461914062;-0.000006730705536028836,1.7532249430018965e-8,-0.0022820518352091312,-0.01377415843307972;3.5323771685469296e-10,0.22327370941638947,0.03301195800304413,-0.5017634034156799;0.40885865688323975,-0.12242896854877472,0.03594314679503441,-0.04514515399932861
;-84.09278869628906;-0.000006734618636983214,1.750530564947894e-8,-0.0022836397401988506,-0.013713176362216473;3.5269992482156454e-10,0.22326597571372986,0.03285113349556923,-0.5013427138328552;0.40852582454681396,-0.12243687361478806,0.03592203930020332,-0.045145802199840546
;-84.09507751464844;-0.000006738519005011767,1.7478457792208246e-8,-0.002285225782543421,-0.01365246344357729;3.521638536341243e-10,0.22325830161571503,0.03269113600254059,-0.5009245276451111;0.40819400548934937,-0.12244474142789841,0.03590105101466179,-0.045146454125642776
;-84.09736633300781;-0.00000674239345244132,1.7451709410920557e-8,-0.002286809729412198,-0.013592022471129894;3.516303914707919e-10,0.2232506275177002,0.032531969249248505,-0.5005068778991699;0.407863050699234,-0.12245260924100876,0.03588008135557175,-0.04514709860086441
;-84.09964752197266;-0.000006746216968167573,1.7424991227699138e-8,-0.002288391813635826,-0.01353185623884201;3.5109679052958143e-10,0.22324298322200775,0.03237349912524223,-0.5000871419906616;0.4075320065021515,-0.1224604994058609,0.03585900366306305,-0.04514774680137634
;-84.10192108154297;-0.00000675005230732495,1.7398438245663783e-8,-0.0022899718023836613,-0.013471952639520168;3.505676582360451e-10,0.2232353538274765,0.03221597895026207,-0.4996507465839386;0.4072030186653137,-0.12246864289045334,0.035837117582559586,-0.04514839127659798
;-84.10419464111328;-0.000006753854449925711,1.7371920790765216e-8,-0.002291549928486347,-0.013412320986390114;3.5003835940905503e-10,0.22322773933410645,0.03205915540456772,-0.4992179870605469;0.40687376260757446,-0.1224767342209816,0.03581539914011955,-0.04514903202652931
;-84.1064682006836;-0.000006757592473149998,1.734543353393292e-8,-0.0022931259591132402,-0.013352964073419571;3.49509421404548e-10,0.2232201099395752,0.03190302476286888,-0.49878135323524475;0.40654441714286804,-0.12248489260673523,0.0357934795320034,-0.045149676501750946
;-84.1087417602539;-0.0000067612795646709856,1.7318974698810052e-8,-0.002294698962941766,-0.013293880969285965;3.489813160673094e-10,0.22321252524852753,0.03174758329987526,-0.4983457028865814;0.4062149226665497,-0.12249304354190826,0.03577160835266113,-0.04515031725168228
;-84.11100006103516;-0.000006764957106497604,1.7292613563313353e-8,-0.002296269405633211,-0.0132350604981184;3.484548760646078e-10,0.22320495545864105,0.031592950224876404,-0.4979231357574463;0.40588638186454773,-0.12250097841024399,0.03575035557150841,-0.04515095800161362
;-84.1132583618164;-0.000006768608272977872,1.726634835108598e-8,-0.0022978377528488636,-0.013176501728594303;3.47931045086014e-10,0.22319737076759338,0.031439121812582016,-0.4975034296512604;0.40555882453918457,-0.12250888347625732,0.03572923690080643,-0.045151595026254654
;-84.11551666259766;-0.000006772228061890928,1.7240118665995396e-8,-0.002299404703080654,-0.013118209317326546;3.474070753295422e-10,0.2231898307800293,0.031285978853702545,-0.49708089232444763;0.4052310883998871,-0.12251684069633484,0.03570796549320221,-0.04515223205089569
;-84.1177749633789;-0.000006775786005164264,1.7213915626257403e-8,-0.00230096816085279,-0.013060186058282852;3.4688349415112896e-10,0.22318227589130402,0.031133506447076797,-0.4966593384742737;0.4049031734466553,-0.12252479046583176,0.035686735063791275,-0.04515286907553673
;-84.1200180053711;-0.000006779331215511775,1.7187810286145577e-8,-0.002302529290318489,-0.013002417981624603;3.4636246648567237e-10,0.22317475080490112,0.03098183311522007,-0.49624770879745483;0.4045760929584503,-0.12253257632255554,0.03566598519682884,-0.045153506100177765
;-84.12226104736328;-0.000006782855507481145,1.716180086930308e-8,-0.00230408925563097,-0.012944910675287247;3.458431041547527e-10,0.2231672704219818,0.03083094395697117,-0.495824933052063;0.4042501449584961,-0.12254054844379425,0.03564468398690224,-0.0451541393995285
;-84.12450408935547;-0.000006786347967135953,1.713582342688369e-8,-0.0023056466598063707,-0.012887666001915932;3.453241304018917e-10,0.22315973043441772,0.03068072721362114,-0.49540331959724426;0.40392395853996277,-0.12254849821329117,0.03562343120574951,-0.04515477269887924
;-84.12673950195312;-0.00000678977312418283,1.7109870853460052e-8,-0.0023072012700140476,-0.01283067837357521;3.4480587829399667e-10,0.2231522500514984,0.030531177297234535,-0.4949909448623657;0.4035976827144623,-0.12255630642175674,0.0356026254594326,-0.04515540599822998
;-84.12896728515625;-0.000006793232842028374,1.70840799285088e-8,-0.0023087544832378626,-0.012773942202329636;3.44291067877478e-10,0.2231447547674179,0.030382517725229263,-0.4945704936981201;0.4032733738422394,-0.12256424129009247,0.03558141738176346,-0.04515603929758072
;-84.13119506835938;-0.000006796635716455057,1.7058322754337496e-8,-0.0023103051353245974,-0.012717463076114655;3.437766460390179e-10,0.22313734889030457,0.03023451939225197,-0.49414607882499695;0.40294891595840454,-0.12257223576307297,0.0355600081384182,-0.04515666514635086
;-84.1334228515625;-0.000006799996754125459,1.7032592225518783e-8,-0.002311853924766183,-0.012661240994930267;3.432625295118896e-10,0.22312988340854645,0.030087178573012352,-0.4937288463115692;0.4026243984699249,-0.12258012592792511,0.0355389378964901,-0.0451572947204113
