voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;0.760932981967926;-1.1659075635007173e-14,0.013735665939748287,-1.1210761070251465,0.2591201961040497;0.021732622757554054,0.37786608934402466,0.20419509708881378,-0.06959172338247299;0.0214227307587862,-0.06726313382387161,0.05355328693985939,-0.020687997341156006
;0.7172483801841736;-1.1935509919541298e-14,0.01374873798340559,-1.120484471321106,0.25963565707206726;0.021566618233919144,0.3778405487537384,0.20455284416675568,-0.06966564059257507;0.02150547318160534,-0.06729718297719955,0.05352161079645157,-0.02070065774023533
;0.673389196395874;-1.2219622557742282e-14,0.013761898502707481,-1.1198910474777222,0.2601504623889923;0.02140120416879654,0.3778148591518402,0.204911470413208,-0.06974177062511444;0.02158886007964611,-0.06733129173517227,0.05349012091755867,-0.02071336843073368
;0.6293551921844482;-1.2511654106967147e-14,0.013775144703686237,-1.119295358657837,0.2606647312641144;0.021236371248960495,0.3777890205383301,0.20527103543281555,-0.06981728225946426;0.021672885864973068,-0.06736557185649872,0.05345837399363518,-0.020726129412651062
;0.5851460099220276;-1.2811850206770597e-14,0.013788475655019283,-1.1186981201171875,0.2611791491508484;0.021072139963507652,0.37776312232017517,0.20563150942325592,-0.06989486515522003;0.021757563576102257,-0.06739991903305054,0.05342678353190422,-0.020738940685987473
;0.5407614707946777;-1.312045480264144e-14,0.013801893219351768,-1.1180983781814575,0.2616928219795227;0.020908508449792862,0.3777370750904083,0.20599287748336792,-0.06997395306825638;0.021842915564775467,-0.06743434071540833,0.053395260125398636,-0.02075180597603321
;0.49620163440704346;-1.3437741486221639e-14,0.013815397396683693,-1.1174964904785156,0.26220592856407166;0.02074548788368702,0.37771081924438477,0.20635521411895752,-0.0700559988617897;0.021928953006863594,-0.0674687996506691,0.05336402729153633,-0.02076471969485283
;0.45146653056144714;-1.3763953355967057e-14,0.013828989118337631,-1.1168925762176514,0.26271867752075195;0.020583076402544975,0.37768450379371643,0.20671847462654114,-0.07014179229736328;0.022015642374753952,-0.06750326603651047,0.05333320423960686,-0.020777685567736626
;0.40655556321144104;-1.40993970378046e-14,0.013842666521668434,-1.1162867546081543,0.2632307708263397;0.020421279594302177,0.37765806913375854,0.20708265900611877,-0.07022452354431152;0.022103017196059227,-0.06753798574209213,0.053301770240068436,-0.020790699869394302
;0.36146867275238037;-1.444436136996928e-14,0.013856430537998676,-1.1156789064407349,0.26374247670173645;0.020260097458958626,0.3776315450668335,0.2074478268623352,-0.07031122595071793;0.022191066294908524,-0.0675727054476738,0.05327075719833374,-0.020803766325116158
;0.3162054121494293;-1.4799130955531377e-14,0.013870283029973507,-1.1150689125061035,0.2642538249492645;0.02009955421090126,0.37760475277900696,0.20781391859054565,-0.0703979879617691;0.022279812023043633,-0.0676075741648674,0.0532396025955677,-0.02081688493490219
;0.270765095949173;-1.5164009032286006e-14,0.013884223066270351,-1.1144567728042603,0.2647646963596344;0.01993963122367859,0.37757790088653564,0.20818102359771729,-0.07048166543245316;0.022369245067238808,-0.0676426962018013,0.05320783331990242,-0.020830053836107254
;0.22514773905277252;-1.553933780154386e-14,0.01389825064688921,-1.1138426065444946,0.26527488231658936;0.019780341535806656,0.3775508999824524,0.20854900777339935,-0.0705697312951088;0.022459397092461586,-0.06767779588699341,0.05317655950784683,-0.020843276754021645
;0.17935261130332947;-1.5925454382417943e-14,0.013912362046539783,-1.113226294517517,0.26578468084335327;0.01962168887257576,0.37752383947372437,0.2089180052280426,-0.07065647095441818;0.02255026251077652,-0.06771310418844223,0.05314493924379349,-0.020856546238064766
;0.13337956368923187;-1.6322677259296425e-14,0.013926561921834946,-1.1126080751419067,0.26629385352134705;0.0194636732339859,0.377496600151062,0.20928798615932465,-0.07074587792158127;0.02264183759689331,-0.06774844974279404,0.053113553673028946,-0.020869871601462364
;0.08722876012325287;-1.6731345245358208e-14,0.013940849341452122,-1.1119873523712158,0.26680266857147217;0.019306311383843422,0.3774692118167877,0.2096589356660843,-0.07083746790885925;0.02273411490023136,-0.06778385490179062,0.05308234319090843,-0.020883245393633842
;0.04089988023042679;-1.715187508081334e-14,0.013955223374068737,-1.1113646030426025,0.2673109471797943;0.01914958842098713,0.3774417042732239,0.21003088355064392,-0.07093007117509842;0.022827154025435448,-0.06781937181949615,0.05305112153291702,-0.02089667320251465
;-0.005607884842902422;-1.75846123551043e-14,0.01396968588232994,-1.1107395887374878,0.26781871914863586;0.018993515521287918,0.3774140179157257,0.21040380001068115,-0.07102221250534058;0.022920889779925346,-0.06785505264997482,0.05301966890692711,-0.020910151302814484
