voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.14722442626953;-0.000006548246346937958,1.686330719508078e-8,-0.00224849721416831,-0.014179256744682789;3.399880932342114e-10,0.22239181399345398,0.03210945799946785,-0.49644404649734497;0.4005299508571625,-0.12255392968654633,0.03564925864338875,-0.04519103094935417
;-84.14933776855469;-0.000006552766080858419,1.6839036831584053e-8,-0.0022501489147543907,-0.014116184785962105;3.3950245392766476e-10,0.2223847657442093,0.03195425122976303,-0.49600717425346375;0.40022099018096924,-0.12256202101707458,0.035627331584692,-0.04519162327051163
;-84.15144348144531;-0.000006557235337822931,1.6814794889796758e-8,-0.0022517978213727474,-0.01405340526252985;3.3901761953281095e-10,0.222377747297287,0.031799737364053726,-0.495584636926651;0.3999118208885193,-0.12256988883018494,0.03560608625411987,-0.04519222304224968
;-84.15354919433594;-0.000006561683676409302,1.6790645318565112e-8,-0.002253444865345955,-0.013990894891321659;3.385348390505527e-10,0.22237074375152588,0.03164602816104889,-0.49515190720558167;0.39960363507270813,-0.12257791310548782,0.03558434545993805,-0.045192815363407135
;-84.15565490722656;-0.000006566093816218199,1.6766520616329217e-8,-0.002255089581012726,-0.013928682543337345;3.3805189203484076e-10,0.22236377000808716,0.03149300441145897,-0.49473556876182556;0.3992953598499298,-0.12258569151163101,0.035563379526138306,-0.04519341140985489
;-84.15776062011719;-0.000006570441655640025,1.6742420783089074e-8,-0.0022567317355424166,-0.013866757042706013;3.3756969441967044e-10,0.22235673666000366,0.031340647488832474,-0.4943188428878784;0.3989868462085724,-0.12259349226951599,0.035542383790016174,-0.045194003731012344
;-84.15985870361328;-0.0000065747440203267615,1.6718345818844682e-8,-0.002258370164781809,-0.013805117458105087;3.370877743602563e-10,0.22234979271888733,0.0311889685690403,-0.4938981533050537;0.3986782729625702,-0.12260134518146515,0.03552119806408882,-0.0451945997774601
;-84.16194915771484;-0.0000065790700318757445,1.6694425397645318e-8,-0.0022600069642066956,-0.013743747025728226;3.3660926823664283e-10,0.22234280407428741,0.031038206070661545,-0.49347707629203796;0.39837175607681274,-0.1226092055439949,0.03549998998641968,-0.045195188373327255
;-84.1640396118164;-0.000006583352387679042,1.6670529845441706e-8,-0.0022616421338170767,-0.013682655990123749;3.361314837579954e-10,0.22233587503433228,0.030888110399246216,-0.49307122826576233;0.39806511998176575,-0.12261684983968735,0.03547951206564903,-0.04519577696919441
;-84.1661148071289;-0.0000065876092776306905,1.6646728440150582e-8,-0.002263274509459734,-0.013621841557323933;3.3565530910273367e-10,0.22232893109321594,0.030738798901438713,-0.4926659166812897;0.39775943756103516,-0.122624471783638,0.03545904904603958,-0.04519636556506157
;-84.1681900024414;-0.0000065918461586989,1.6623017629058268e-8,-0.002264905022457242,-0.01356129627674818;3.3518166020485296e-10,0.2223219871520996,0.030590273439884186,-0.49224016070365906;0.39745470881462097,-0.12263240665197372,0.03543758764863014,-0.04519694671034813
;-84.1702651977539;-0.000006596046659979038,1.6599331686961705e-8,-0.002266534371301532,-0.013501030392944813;3.3470781701794294e-10,0.22231507301330566,0.03044239431619644,-0.49182045459747314;0.39714986085891724,-0.12264025211334229,0.035416413098573685,-0.045197535306215286
;-84.1723403930664;-0.000006600200777029386,1.6575670613860893e-8,-0.002268159994855523,-0.013441042974591255;3.342346677204233e-10,0.22230814397335052,0.030295172706246376,-0.4914068281650543;0.39684489369392395,-0.12264802306890488,0.03539552539587021,-0.045198120176792145
;-84.1744155883789;-0.0000066043112383340485,1.6552034409755834e-8,-0.0022697835229337215,-0.013381329365074635;3.337618792453867e-10,0.22230124473571777,0.03014860488474369,-0.49099287390708923;0.3965397775173187,-0.12265579402446747,0.035374611616134644,-0.0451987087726593
;-84.1764907836914;-0.000006608358035009587,1.6528421298289686e-8,-0.002271404257044196,-0.013321890495717525;3.3328886872574515e-10,0.22229430079460144,0.030002690851688385,-0.49057120084762573;0.39623451232910156,-0.12266368418931961,0.03535331040620804,-0.04519929364323616
;-84.17855072021484;-0.000006612399829464266,1.6504898781022348e-8,-0.002273021964356303,-0.013262718915939331;3.3281841171906024e-10,0.2222874015569687,0.029857534915208817,-0.4901662766933441;0.3959302604198456,-0.12267132848501205,0.035332825034856796,-0.04519987851381302
;-84.18061065673828;-0.00000661643389321398,1.648146508159698e-8,-0.0022746375761926174,-0.013203814625740051;3.323494812690342e-10,0.22228053212165833,0.02971314638853073,-0.4897508919239044;0.395626962184906,-0.12267912179231644,0.035311825573444366,-0.04520046338438988
;-84.18267059326172;-0.000006620418844249798,1.6458056251167363e-8,-0.0022762510925531387,-0.013145175762474537;3.318808838859155e-10,0.22227363288402557,0.029569391161203384,-0.4893360137939453;0.39532357454299927,-0.12268692255020142,0.035290833562612534,-0.04520104080438614
;-84.18473052978516;-0.000006624364232266089,1.6434674066090338e-8,-0.0022778622806072235,-0.01308681070804596;3.3141300814776287e-10,0.2222667932510376,0.02942628227174282,-0.4889237582683563;0.3950199782848358,-0.12269467860460281,0.03526996821165085,-0.045201625674963
;-84.18678283691406;-0.000006628284609178081,1.6411378922498443e-8,-0.002279470441862941,-0.0130287054926157;3.309466867218447e-10,0.22225995361804962,0.029283922165632248,-0.4885234236717224;0.3947174549102783,-0.12270225584506989,0.035249676555395126,-0.04520220682024956
;-84.18882751464844;-0.000006632176791754318,1.638810687154546e-8,-0.002281076507642865,-0.01297086849808693;3.304811146964681e-10,0.22225308418273926,0.029142187908291817,-0.488111674785614;0.3944147527217865,-0.12271001935005188,0.03522881865501404,-0.04520278424024582
;-84.19087219238281;-0.000006636044872720959,1.6364923638434448e-8,-0.002282680943608284,-0.012913287617266178;3.3001709698332604e-10,0.22224627435207367,0.029001206159591675,-0.4876995086669922;0.39411303400993347,-0.12271777540445328,0.03520793095231056,-0.04520336166024208
;-84.19291687011719;-0.0000066398547460266855,1.6341765274319187e-8,-0.00228428328409791,-0.012855973094701767;3.2955341233709134e-10,0.2222394347190857,0.028860844671726227,-0.4872870147228241;0.3938111364841461,-0.12272554636001587,0.03518702834844589,-0.04520393908023834
;-84.19496154785156;-0.000006643638698733412,1.6318630002842838e-8,-0.0022858816664665937,-0.012798921205103397;3.290903938246714e-10,0.2222326099872589,0.02872110903263092,-0.4868755638599396;0.393509179353714,-0.12273331731557846,0.03516615554690361,-0.0452045202255249
