voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.25060272216797;-0.000006443094207497779,1.5619031401570282e-8,-0.002340917242690921,-0.01109490916132927;3.150809335661364e-10,0.22296205163002014,0.026798924431204796,-0.4772036075592041;0.3839088976383209,-0.1229158490896225,0.03469187021255493,-0.04518073797225952
;-84.25255584716797;-0.000006447137820941862,1.5597429126046336e-8,-0.002342443447560072,-0.011045866645872593;3.146480853644107e-10,0.22295551002025604,0.026668952777981758,-0.4767949879169464;0.3836171627044678,-0.12292362004518509,0.03467097878456116,-0.04518129304051399
;-84.2544937133789;-0.000006451139597629663,1.5575844614090784e-8,-0.0023439666256308556,-0.01099704671651125;3.142154592072899e-10,0.2229490578174591,0.026539556682109833,-0.4764004647731781;0.3833252787590027,-0.12293117493391037,0.0346507765352726,-0.045181840658187866
;-84.25643157958984;-0.000006455130460381042,1.5554345367263522e-8,-0.0023454877082258463,-0.010948448441922665;3.137848314516134e-10,0.22294257581233978,0.026410847902297974,-0.47600409388542175;0.3830343782901764,-0.12293875962495804,0.03463046997785568,-0.04518238455057144
;-84.25836944580078;-0.00000645907402940793,1.5532867436718334e-8,-0.0023470064625144005,-0.010900072753429413;3.1335439798496623e-10,0.22293610870838165,0.026282714679837227,-0.47560104727745056;0.38274332880973816,-0.12294644117355347,0.034609828144311905,-0.045182932168245316
;-84.26030731201172;-0.000006462982582888799,1.551140904609838e-8,-0.0023485226556658745,-0.010851919651031494;3.129242698296508e-10,0.22292962670326233,0.026155155152082443,-0.47521117329597473;0.38245221972465515,-0.12295394390821457,0.03458983451128006,-0.04518347978591919
;-84.26223754882812;-0.000006466853392339544,1.5489971971760497e-8,-0.002350036520510912,-0.01080398727208376;3.1249433596336473e-10,0.222923144698143,0.026028163731098175,-0.4748402237892151;0.38216090202331543,-0.1229611337184906,0.03457076847553253,-0.04518402740359306
;-84.26416015625;-0.0000064707382989581674,1.5468682335040285e-8,-0.002351547824218869,-0.010756265372037888;3.1206764949942567e-10,0.22291667759418488,0.025901956483721733,-0.4744439125061035;0.38187175989151,-0.12296871840953827,0.03455043584108353,-0.04518456757068634
;-84.26608276367188;-0.000006474572273873491,1.5447414014602145e-8,-0.002353057963773608,-0.010708757676184177;3.11641656924877e-10,0.22291027009487152,0.02577630989253521,-0.4740491509437561;0.3815825283527374,-0.12297629565000534,0.03453018143773079,-0.045185111463069916
;-84.26800537109375;-0.0000064783730522322,1.542616523408924e-8,-0.0023545667063444853,-0.010661475360393524;3.1121588639493325e-10,0.22290383279323578,0.025651227682828903,-0.47366392612457275;0.3812931478023529,-0.12298372387886047,0.03451038524508476,-0.04518565163016319
;-84.26992797851562;-0.000006482140179286944,1.5404937769858407e-8,-0.002356072422116995,-0.010614404454827309;3.1079033790959443e-10,0.22289742529392242,0.025526706129312515,-0.47325992584228516;0.38100358843803406,-0.12299145013093948,0.034489650279283524,-0.04518619552254677
