voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;4.165827751159668;-1.8173614926185943e-15,0.012380999512970448,-1.0645625591278076,0.28947263956069946;0.03937695547938347,0.38241690397262573,0.19662176072597504,-0.06838352978229523;0.015853727236390114,-0.06428531557321548,0.05728079751133919,-0.019633444026112556
;4.125678062438965;-1.8571459948764184e-15,0.01239246316254139,-1.0639915466308594,0.2900221645832062;0.039104484021663666,0.38239508867263794,0.19696347415447235,-0.06844353675842285;0.01591028831899166,-0.06431714445352554,0.05724923312664032,-0.019645079970359802
;4.085352897644043;-1.897978488648233e-15,0.012404018081724644,-1.0634188652038574,0.2905709445476532;0.0388326570391655,0.382373183965683,0.19730597734451294,-0.06850144267082214;0.015967300161719322,-0.06434919685125351,0.05721719190478325,-0.019656764343380928
;4.044852256774902;-1.9398907376695597e-15,0.012415665201842785,-1.0628437995910645,0.2911190688610077;0.03856150060892105,0.3823511600494385,0.197649285197258,-0.06856226176023483;0.016024764627218246,-0.06438128650188446,0.05718541145324707,-0.019668500870466232
;4.004176139831543;-1.982915776225342e-15,0.012427403591573238,-1.0622670650482178,0.2916663885116577;0.038290996104478836,0.38232895731925964,0.1979934275150299,-0.06862273812294006;0.016082681715488434,-0.06441354006528854,0.05715341866016388,-0.019680289551615715
;3.9633240699768066;-2.0270849445346278e-15,0.012439233250916004,-1.0616883039474487,0.29221364855766296;0.03802118077874184,0.3823067247867584,0.19833844900131226,-0.06868592649698257;0.01614106073975563,-0.06444583833217621,0.0571216456592083,-0.019692128524184227
;3.9222962856292725;-2.072431700398834e-15,0.012451154179871082,-1.0611076354980469,0.2927599847316742;0.03775206580758095,0.38228434324264526,0.19868427515029907,-0.06875026971101761;0.01619989052414894,-0.06447823345661163,0.05708988755941391,-0.019704017788171768
;3.881092071533203;-2.1189914074435084e-15,0.012463168241083622,-1.0605254173278809,0.29330599308013916;0.037483640015125275,0.38226190209388733,0.19903096556663513,-0.06881475448608398;0.016259193420410156,-0.064510777592659,0.05705797299742699,-0.01971595734357834
;3.8397114276885986;-2.166804723250119e-15,0.012475273571908474,-1.0599408149719238,0.2938511073589325;0.0372159406542778,0.3822392523288727,0.19937853515148163,-0.06888123601675034;0.016318954527378082,-0.06454338878393173,0.05702618509531021,-0.019727950915694237
;3.79815411567688;-2.2159021410047674e-15,0.012487468309700489,-1.059354543685913,0.2943955957889557;0.03694894164800644,0.38221651315689087,0.1997269093990326,-0.0689476802945137;0.016379205510020256,-0.064576156437397,0.0569942370057106,-0.019739994779229164
;3.7564194202423096;-2.2663264358712895e-15,0.01249975711107254,-1.058766484260559,0.2949393689632416;0.036682695150375366,0.3821936845779419,0.20007619261741638,-0.0690157413482666;0.01643991284072399,-0.06460900604724884,0.05696234479546547,-0.01975208707153797
;3.714507579803467;-2.3181163596070224e-15,0.01251213625073433,-1.0581766366958618,0.295482337474823;0.036417171359062195,0.38217073678970337,0.2004263550043106,-0.06908638775348663;0.016501115635037422,-0.06464191526174545,0.05693066865205765,-0.019764235243201256
