voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.04571533203125;-0.000006567939635715447,1.808274774361962e-8,-0.002236377913504839,-0.015430116094648838;3.6421995974755816e-10,0.2231682538986206,0.037155743688344955,-0.5093986392021179;0.41566240787506104,-0.12228598445653915,0.036319978535175323,-0.045143477618694305
;-84.04812622070312;-0.000006572751317435177,1.805419991285362e-8,-0.002238024491816759,-0.015361655503511429;3.636494161352033e-10,0.22316017746925354,0.0369744636118412,-0.5089495778083801;0.4153175354003906,-0.12229429185390472,0.03629763796925545,-0.045144155621528625
;-84.05052185058594;-0.0000065775320763350464,1.8025749781713785e-8,-0.002239668508991599,-0.015293503180146217;3.630811484800489e-10,0.22315214574337006,0.03679411858320236,-0.5085179209709167;0.414973646402359,-0.12230234593153,0.03627611696720123,-0.045144837349653244
;-84.05291748046875;-0.000006582301011803793,1.7997402679270635e-8,-0.0022413108963519335,-0.015225650742650032;3.6251501800421693e-10,0.22314412891864777,0.036614708602428436,-0.5080805420875549;0.41463059186935425,-0.12231048941612244,0.036254316568374634,-0.045145515352487564
;-84.0552978515625;-0.0000065870403886947315,1.7969155052810493e-8,-0.0022429509554058313,-0.015158100053668022;3.619511634855854e-10,0.22313609719276428,0.03643622249364853,-0.5076418519020081;0.4142885208129883,-0.12231864780187607,0.03623244911432266,-0.045146189630031586
;-84.05767822265625;-0.00000659174884276581,1.7941006902333356e-8,-0.0022445889189839363,-0.015090842731297016;3.6138897430149086e-10,0.22312812507152557,0.036258649080991745,-0.5071879625320435;0.4139474034309387,-0.12232702970504761,0.036209847778081894,-0.04514686390757561
;-84.06005859375;-0.0000065964127315965015,1.7912894278993008e-8,-0.0022462247870862484,-0.015023901127278805;3.6082772880696723e-10,0.22312015295028687,0.036081861704587936,-0.5067353844642639;0.41360610723495483,-0.12233540415763855,0.036187298595905304,-0.04514753818511963
;-84.06243896484375;-0.000006601004315598402,1.7884815406432608e-8,-0.0022478578612208366,-0.014957264997065067;3.602668441349266e-10,0.22311218082904816,0.035905852913856506,-0.5062993168830872;0.4132647216320038,-0.1223435327410698,0.036165524274110794,-0.04514821246266365
;-84.06481170654297;-0.0000066055431489076,1.7856770284652157e-8,-0.002249488141387701,-0.014890935271978378;3.59706320285369e-10,0.22310420870780945,0.035730618983507156,-0.5058577656745911;0.4129229784011841,-0.1223517507314682,0.036143481731414795,-0.045148883014917374
;-84.06717681884766;-0.0000066101029005949385,1.782888681134409e-8,-0.0022511163260787725,-0.01482489425688982;3.591498209942756e-10,0.2230963110923767,0.03555642068386078,-0.50541752576828;0.4125833213329315,-0.12235994637012482,0.03612150624394417,-0.0451495498418808
;-84.06954193115234;-0.0000066146048993687145,1.7801038865172814e-8,-0.002252741949632764,-0.014759153127670288;3.585937380368165e-10,0.22308838367462158,0.03538299724459648,-0.5049992203712463;0.4122436046600342,-0.12236781418323517,0.036100562661886215,-0.04515022411942482
