voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.22920227050781;-0.000006538942216138821,1.5866257641050652e-8,-0.002341531217098236,-0.011239827610552311;3.200136267089704e-10,0.22306378185749054,0.02703550085425377,-0.4807492196559906;0.38724327087402344,-0.12284521013498306,0.03487520292401314,-0.04517340287566185
;-84.23118591308594;-0.000006542767096107127,1.5843983902641412e-8,-0.002343054162338376,-0.011190160177648067;3.1956762236440284e-10,0.2230570763349533,0.02690429799258709,-0.48034176230430603;0.3869461715221405,-0.12285294383764267,0.034854426980018616,-0.04517396539449692
;-84.23316955566406;-0.000006546575605170801,1.5821795429360463e-8,-0.002344575710594654,-0.011140716262161732;3.191236164212796e-10,0.22305046021938324,0.026773793622851372,-0.47994446754455566;0.38665008544921875,-0.12286052852869034,0.03483414277434349,-0.04517452046275139
;-84.23515319824219;-0.000006550348643941106,1.5799631825075267e-8,-0.0023460949305444956,-0.011091499589383602;3.1867988803391256e-10,0.22304384410381317,0.026643868535757065,-0.47956380248069763;0.38635385036468506,-0.12286785244941711,0.03481466323137283,-0.045175082981586456
;-84.23712921142578;-0.0000065540684772713576,1.5777485984358464e-8,-0.002347612055018544,-0.01104250643402338;3.1823640944672604e-10,0.22303713858127594,0.026514524593949318,-0.47918108105659485;0.3860575258731842,-0.12287521362304688,0.034795086830854416,-0.045175641775131226
;-84.23909759521484;-0.000006557823326147627,1.575549468668669e-8,-0.0023491275496780872,-0.010993728414177895;3.177966223510964e-10,0.22303056716918945,0.026385972276329994,-0.4787747859954834;0.38576334714889526,-0.12288293987512589,0.03477433696389198,-0.045176200568675995
;-84.2410659790039;-0.000006561519967362983,1.5733526481653826e-8,-0.0023506416473537683,-0.010945173911750317;3.173570850556473e-10,0.22302399575710297,0.026257991790771484,-0.4783764183521271;0.3854689300060272,-0.12289054691791534,0.03475397452712059,-0.04517675191164017
;-84.24303436279297;-0.000006565189778484637,1.5711581369259875e-8,-0.0023521529510617256,-0.010896841064095497;3.1691782531595436e-10,0.2230173945426941,0.02613057941198349,-0.4779725968837738;0.3851744532585144,-0.12289823591709137,0.03473333269357681,-0.045177310705184937
;-84.24500274658203;-0.000006568803200934781,1.5689657573147997e-8,-0.0023536619264632463,-0.010848728939890862;3.1647881537644196e-10,0.2230108231306076,0.02600374072790146,-0.47756946086883545;0.38487985730171204,-0.12290593236684799,0.03471272438764572,-0.04517786204814911
;-84.2469711303711;-0.000006572387519554468,1.5667755093318192e-8,-0.002355168340727687,-0.01080083753913641;3.160400274815345e-10,0.22300423681735992,0.025877464562654495,-0.47718748450279236;0.38458508253097534,-0.12291329354047775,0.03469314053654671,-0.04517842084169388
;-84.24893951416016;-0.000006575916813744698,1.564587392977046e-8,-0.0023566721938550472,-0.010753167793154716;3.156019334760174e-10,0.22299769520759583,0.025751756504178047,-0.4767824113368988;0.3842902183532715,-0.12292102724313736,0.034672416746616364,-0.04517897218465805
;-84.25089263916016;-0.000006579447017429629,1.562407803135102e-8,-0.002358172321692109,-0.01070571318268776;3.151653937827348e-10,0.22299107909202576,0.025626713410019875,-0.4763745367527008;0.3839963376522064,-0.12292879074811935,0.03465154021978378,-0.04517952725291252
;-84.25284576416016;-0.000006582969035662245,1.5602369174416708e-8,-0.00235967175103724,-0.010658466257154942;3.1473038064611103e-10,0.22298456728458405,0.025502337142825127,-0.47597283124923706;0.38370347023010254,-0.12293647229671478,0.034630969166755676,-0.045180078595876694
;-84.25479888916016;-0.000006586438757949509,1.558067985740763e-8,-0.002361169084906578,-0.010611439123749733;3.1429606139887767e-10,0.22297804057598114,0.02537851594388485,-0.4755818843841553;0.3834104835987091,-0.12294398993253708,0.03461092337965965,-0.045180633664131165
;-84.25675201416016;-0.000006589877557416912,1.5559013633037466e-8,-0.002362665254622698,-0.01056462712585926;3.1386196419624923e-10,0.22297154366970062,0.025255247950553894,-0.4751829504966736;0.38311728835105896,-0.12295162677764893,0.0345904640853405,-0.04518118128180504
;-84.25870513916016;-0.000006593269517907174,1.5537365172235695e-8,-0.002364157699048519,-0.010518032126128674;3.1342817230495257e-10,0.22296500205993652,0.02513253502547741,-0.47479477524757385;0.38282403349876404,-0.12295909970998764,0.03457053750753403,-0.04518173635005951
;-84.26065063476562;-0.00000659662737234612,1.5515736251359158e-8,-0.0023656475823372602,-0.010471649467945099;3.129945747026852e-10,0.22295843064785004,0.02501036413013935,-0.4744194447994232;0.3825306296348572,-0.12296638637781143,0.034551240503787994,-0.04518228396773338
;-84.26258850097656;-0.000006600007509405259,1.549425832081397e-8,-0.002367135602980852,-0.010425468906760216;3.125646408363991e-10,0.2229519635438919,0.02488894946873188,-0.47403740882873535;0.3822394013404846,-0.12297376990318298,0.0345316082239151,-0.04518283158540726
;-84.2645263671875;-0.00000660333716950845,1.5472801706550854e-8,-0.0023686219938099384,-0.01037949975579977;3.1213495677029357e-10,0.2229454517364502,0.024768073111772537,-0.4736516773700714;0.38194799423217773,-0.12298121303319931,0.034511785954236984,-0.04518337547779083
;-84.26646423339844;-0.000006606639999517938,1.5451362855856132e-8,-0.002370106289163232,-0.010333742015063763;3.1170552250436856e-10,0.22293899953365326,0.02464774064719677,-0.47327226400375366;0.3816564977169037,-0.12298855930566788,0.034492265433073044,-0.045183926820755005
;-84.26840209960938;-0.000006609903266507899,1.5429947097800323e-8,-0.0023715877905488014,-0.010288194753229618;3.112763657941997e-10,0.22293250262737274,0.02452794276177883,-0.47287893295288086;0.3813648521900177,-0.12299612909555435,0.03447204828262329,-0.04518447071313858
;-84.27032470703125;-0.0000066131510720879305,1.5408616604872805e-8,-0.0023730676621198654,-0.01024285051971674;3.108490964631727e-10,0.222926065325737,0.024408787488937378,-0.4724985659122467;0.3810742497444153,-0.12300349771976471,0.034452468156814575,-0.045185014605522156
;-84.27224731445312;-0.0000066163952396891546,1.53873678243599e-8,-0.00237454567104578,-0.010197706520557404;3.1042382553359005e-10,0.22291965782642365,0.024290263652801514,-0.47212308645248413;0.3807846009731293,-0.1230107843875885,0.03443313017487526,-0.04518555849790573
;-84.274169921875;-0.000006619605301239062,1.5366142136485905e-8,-0.002376022282987833,-0.010152771137654781;3.099983880705537e-10,0.2229132056236267,0.02417227067053318,-0.47173407673835754;0.3804948031902313,-0.1230182945728302,0.034413114190101624,-0.04518609866499901
;-84.27609252929688;-0.000006622769888053881,1.5344939541250824e-8,-0.002377496100962162,-0.010108039714396;3.0957353347460526e-10,0.22290679812431335,0.02405480295419693,-0.4713689982891083;0.380204975605011,-0.12302543222904205,0.034394271671772,-0.045186642557382584
;-84.27800750732422;-0.000006625890364375664,1.5323752933227297e-8,-0.0023789682891219854,-0.010063515976071358;3.091490119455642e-10,0.222900390625,0.02393786422908306,-0.4709823429584503;0.3799149692058563,-0.12303291261196136,0.03437435254454613,-0.04518718272447586
;-84.27992248535156;-0.000006629014478676254,1.530265159033206e-8,-0.002380437683314085,-0.010019190609455109;3.087263500400894e-10,0.22289398312568665,0.023821547627449036,-0.47058597207069397;0.37962591648101807,-0.12304054200649261,0.03435394912958145,-0.04518772289156914
;-84.28182983398438;-0.000006632130407524528,1.5281633736208278e-8,-0.0023819052148610353,-0.009975062683224678;3.083052702024247e-10,0.22288760542869568,0.023705853149294853,-0.4702124297618866;0.37933796644210815,-0.12304781377315521,0.03433466702699661,-0.045188263058662415
;-84.28373718261719;-0.000006635206318605924,1.5260638974723406e-8,-0.002383371815085411,-0.009931135922670364;3.0788482874299916e-10,0.2228812277317047,0.02359067276120186,-0.4698518216609955;0.3790498971939087,-0.1230548843741417,0.034316033124923706,-0.045188795775175095
;-84.28564453125;-0.000006638245395151898,1.523966197680693e-8,-0.002384835621342063,-0.009887414053082466;3.0746460932817854e-10,0.22287485003471375,0.02347601018846035,-0.469470739364624;0.3787616789340973,-0.12306228280067444,0.03429636359214783,-0.04518933594226837
;-84.28753662109375;-0.000006641270374529995,1.5218770244018742e-8,-0.0023862968664616346,-0.009843884035944939;3.070463050480754e-10,0.22286853194236755,0.023361962288618088,-0.46909651160240173;0.37847450375556946,-0.12306957691907883,0.03427703306078911,-0.04518987238407135
;-84.2894287109375;-0.00000664429444441339,1.5197962000002008e-8,-0.0023877578787505627,-0.009800548665225506;3.0662955508020673e-10,0.22286216914653778,0.023248519748449326,-0.46871519088745117;0.37818825244903564,-0.12307697534561157,0.034257348626852036,-0.04519040882587433
;-84.29132080078125;-0.000006647280770266661,1.5177176848624185e-8,-0.0023892170283943415,-0.009757411666214466;3.062134434905772e-10,0.22285589575767517,0.023135585710406303,-0.46834513545036316;0.37790194153785706,-0.12308420240879059,0.034238215535879135,-0.04519093781709671
;-84.293212890625;-0.000006650234354310669,1.5156409460814757e-8,-0.00239067361690104,-0.009714472107589245;3.05797526189977e-10,0.2228495478630066,0.023023156449198723,-0.4679791331291199;0.3776155114173889,-0.12309136241674423,0.03421927988529205,-0.04519147053360939
;-84.29509735107422;-0.000006653181117144413,1.513572556177678e-8,-0.002392127877101302,-0.009671722538769245;3.053831632016113e-10,0.2228432595729828,0.022911328822374344,-0.46760275959968567;0.37733009457588196,-0.1230987012386322,0.03419981896877289,-0.04519200697541237
;-84.2969741821289;-0.000006656082405243069,1.5115062979020877e-8,-0.0023935807403177023,-0.009629173204302788;3.049694108359091e-10,0.2228369265794754,0.02280000038444996,-0.4672231376171112;0.37704458832740784,-0.12310608476400375,0.034180186688899994,-0.04519253596663475
;-84.2988510131836;-0.000006658994607278146,1.5094483885036425e-8,-0.002395032439380884,-0.009586810134351254;3.0455762911607565e-10,0.22283068299293518,0.022689267992973328,-0.46685752272605896;0.37675997614860535,-0.123113252222538,0.03416125476360321,-0.045193061232566833
;-84.30072784423828;-0.000006661860879830783,1.5073922554620367e-8,-0.002396481344476342,-0.009544642642140388;3.04145569840486e-10,0.22282442450523376,0.02257903292775154,-0.46649664640426636;0.37647542357444763,-0.12312034517526627,0.03414255008101463,-0.045193593949079514
;-84.30259704589844;-0.000006664710781478789,1.50534464893326e-8,-0.0023979286197572947,-0.00950266420841217;3.0373592529997495e-10,0.22281818091869354,0.02246938832104206,-0.4661265015602112;0.37619173526763916,-0.12312757968902588,0.03412337228655815,-0.0451941192150116
;-84.30445861816406;-0.000006667541128990706,1.5032993516683746e-8,-0.002399374498054385,-0.009460877627134323;3.0332605871485896e-10,0.22281193733215332,0.02236022613942623,-0.465763121843338;0.3759080171585083,-0.12313470989465714,0.03410453349351883,-0.04519464820623398
