voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;8.637762069702148;-1.5644198256952455e-16,0.010488764382898808,-0.9425971508026123,0.37767142057418823;0.08443374931812286,0.38938963413238525,0.19539371132850647,-0.10025101900100708;0.010651578195393085,-0.059204064309597015,0.0667966678738594,-0.01821993477642536
;8.604498863220215;-1.5930022907558518e-16,0.010499530471861362,-0.9423185586929321,0.3783262073993683;0.08396530151367188,0.3893730640411377,0.19569039344787598,-0.100248783826828;0.010683269239962101,-0.05923213064670563,0.06676393002271652,-0.01822957769036293
;8.571101188659668;-1.6222251921339212e-16,0.010510359890758991,-0.9420377612113953,0.37898021936416626;0.08349741250276566,0.3893565237522125,0.19598761200904846,-0.10024874657392502;0.010715178214013577,-0.05926024541258812,0.06673131138086319,-0.018239257857203484
;8.537568092346191;-1.6521025588126426e-16,0.010521252639591694,-0.9417548775672913,0.3796331286430359;0.0830300822854042,0.3893398642539978,0.19628538191318512,-0.1002482995390892;0.010747306980192661,-0.05928848683834076,0.06669851392507553,-0.01824897713959217
;8.503899574279785;-1.682653978428921e-16,0.010532209649682045,-0.9414703249931335,0.38028568029403687;0.0825633555650711,0.3893231749534607,0.19658371806144714,-0.10024908185005188;0.010779665783047676,-0.05931680649518967,0.06666573137044907,-0.01825873740017414
;8.470094680786133;-1.713896656339498e-16,0.010543229058384895,-0.9411830306053162,0.3809370696544647;0.08209720253944397,0.38930633664131165,0.19688257575035095,-0.1002500057220459;0.010812255553901196,-0.05934523418545723,0.06663282960653305,-0.018268536776304245
;8.436153411865234;-1.7458474008544202e-16,0.010554310865700245,-0.9408942461013794,0.38158804178237915;0.08163163810968399,0.3892894685268402,0.19718201458454132,-0.10025250166654587;0.010845067910850048,-0.059373728930950165,0.06659997999668121,-0.018278375267982483
;8.402076721191406;-1.778524873168307e-16,0.010565454140305519,-0.9406028389930725,0.38223785161972046;0.08116674423217773,0.3892724812030792,0.19748203456401825,-0.10025643557310104;0.010878115892410278,-0.05940229073166847,0.06656717509031296,-0.018288252875208855
;8.367863655090332;-1.8119465433356956e-16,0.010576661676168442,-0.9403099417686462,0.38288718461990356;0.08070248365402222,0.38925543427467346,0.19778262078762054,-0.10026291757822037;0.010911391116678715,-0.059430889785289764,0.06653453409671783,-0.01829817146062851
;8.333514213562012;-1.8461322636912871e-16,0.010587931610643864,-0.940014123916626,0.38353583216667175;0.08023888617753983,0.38923826813697815,0.1980837881565094,-0.10026940703392029;0.0109449103474617,-0.05945960432291031,0.06650175154209137,-0.01830812729895115
;8.299027442932129;-1.881102151267579e-16,0.010599262081086636,-0.9397169351577759,0.38418352603912354;0.07977596670389175,0.38922107219696045,0.198385551571846,-0.1002785786986351;0.010978654026985168,-0.05948835238814354,0.06646916270256042,-0.01831812411546707
;8.264404296875;-1.9168771171904563e-16,0.010610655881464481,-0.9394175410270691,0.3848300576210022;0.0793137177824974,0.389203816652298,0.19868791103363037,-0.10028986632823944;0.011012640781700611,-0.05951715260744095,0.06643669307231903,-0.018328160047531128
;8.229644775390625;-1.9534748962122525e-16,0.010622109286487103,-0.9391159415245056,0.38547611236572266;0.07885222882032394,0.38918647170066833,0.19899089634418488,-0.10030250251293182;0.011046863161027431,-0.05954601988196373,0.06640424579381943,-0.018338236957788467
;8.194747924804688;-1.990919311134609e-16,0.010633624158799648,-0.9388121366500854,0.3861210346221924;0.0783914253115654,0.38916900753974915,0.19929444789886475,-0.10031592845916748;0.011081322096288204,-0.05957498028874397,0.06637177616357803,-0.01834835112094879
;8.159713745117188;-2.029232067176799e-16,0.010645201429724693,-0.9385062456130981,0.3867652714252472;0.07793139666318893,0.3891514837741852,0.19959861040115356,-0.10032922029495239;0.011116031557321548,-0.05960405617952347,0.06633913516998291,-0.018358508124947548
;8.124541282653809;-2.0684352666047902e-16,0.010656839236617088,-0.9381980895996094,0.38740912079811096;0.07747209817171097,0.38913390040397644,0.19990336894989014,-0.10034480690956116;0.011150980368256569,-0.05963318422436714,0.06630664318799973,-0.01836870238184929
