voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.08181762695312;-0.000006721377303620102,1.7612336478123325e-8,-0.0022846232168376446,-0.01378283929079771;3.548618343618415e-10,0.22351370751857758,0.03339417651295662,-0.5050674676895142;0.40977683663368225,-0.12237221747636795,0.036109864711761475,-0.04513363167643547
;-84.0841064453125;-0.000006725487310177414,1.7585419342935893e-8,-0.0022862153127789497,-0.013721811585128307;3.543246529513766e-10,0.22350600361824036,0.03323182836174965,-0.5046325922012329;0.4094456136226654,-0.12238029390573502,0.03608815371990204,-0.0451342798769474
;-84.08639526367188;-0.000006729570486641023,1.7558603460088307e-8,-0.002287806011736393,-0.013661053963005543;3.537891646310243e-10,0.2234983742237091,0.03307032585144043,-0.5042014122009277;0.4091153144836426,-0.1223883107304573,0.03606661781668663,-0.045134928077459335
;-84.08868408203125;-0.0000067335990934225265,1.753181777530699e-8,-0.0022893939167261124,-0.013600574806332588;3.532544812223648e-10,0.22349068522453308,0.03290953114628792,-0.5037655830383301;0.4087848365306854,-0.12239640206098557,0.03604484722018242,-0.04513557255268097
;-84.0909652709961;-0.000006737579496984836,1.7505065841305623e-8,-0.0022909792605787516,-0.013540375046432018;3.527197423025541e-10,0.22348302602767944,0.03274944797158241,-0.5033332109451294;0.40845420956611633,-0.12240444868803024,0.036023229360580444,-0.0451362170279026
;-84.0932388305664;-0.000006741573088220321,1.7478470226706122e-8,-0.002292563207447529,-0.013480435125529766;3.5218933325253943e-10,0.223475381731987,0.032590318471193314,-0.5029032230377197;0.4081256091594696,-0.12241245806217194,0.03600172698497772,-0.04513686150312424
;-84.09551239013672;-0.0000067455271164362784,1.745191013924341e-8,-0.0022941443603485823,-0.01342076901346445;3.5165886869137353e-10,0.22346778213977814,0.032431889325380325,-0.5024810433387756;0.40779682993888855,-0.12242034077644348,0.03598059341311455,-0.04513750597834587
;-84.0977783203125;-0.0000067494161157810595,1.7425382026203806e-8,-0.002295723184943199,-0.013361376710236073;3.511292090419005e-10,0.22346018254756927,0.03227415680885315,-0.5020583271980286;0.40746793150901794,-0.12242825329303741,0.03595941886305809,-0.045138146728277206
;-84.10003662109375;-0.000006753322395525174,1.7399015561636588e-8,-0.002297300146892667,-0.013302239589393139;3.50603046594955e-10,0.2234526127576828,0.032117366790771484,-0.5016184449195862;0.4071411192417145,-0.12243641167879105,0.035937413573265076,-0.04513878375291824
;-84.102294921875;-0.000006757191840733867,1.737268107149248e-8,-0.0022988757118582726,-0.013243375346064568;3.500771894593413e-10,0.22344502806663513,0.031961265951395035,-0.5012009143829346;0.4068140983581543,-0.12244423478841782,0.03591648116707802,-0.04513942077755928
;-84.10455322265625;-0.000006760993528587278,1.734637677941464e-8,-0.0023004489485174417,-0.013184781186282635;3.4955216499099606e-10,0.22343745827674866,0.0318058580160141,-0.500756025314331;0.4064869284629822,-0.12245248258113861,0.03589421883225441,-0.045140061527490616
;-84.10679626464844;-0.00000676479066896718,1.732017018696297e-8,-0.0023020189255476,-0.013126447796821594;3.4902880585718776e-10,0.22342991828918457,0.03165125101804733,-0.500329315662384;0.40616074204444885,-0.12246044725179672,0.03587282821536064,-0.04514069855213165
;-84.10903930664062;-0.000006768558250769274,1.7294059517780624e-8,-0.0023035877384245396,-0.013068372383713722;3.4850758390270187e-10,0.22342242300510406,0.03149745240807533,-0.49990516901016235;0.4058353900909424,-0.12246838212013245,0.035851553082466125,-0.04514132812619209
;-84.11128234863281;-0.000006772293090762105,1.726798082302139e-8,-0.0023051544558256865,-0.01301056332886219;3.479871668599088e-10,0.22341489791870117,0.031344328075647354,-0.4994862973690033;0.4055100679397583,-0.1224762350320816,0.03583052381873131,-0.04514196142554283
;-84.11351776123047;-0.000006775966994609917,1.7241932326328424e-8,-0.002306718146428466,-0.012953019700944424;3.474666387948133e-10,0.22340738773345947,0.031191885471343994,-0.49905890226364136;0.40518447756767273,-0.1224842295050621,0.035809073597192764,-0.04514259472489357
;-84.1157455444336;-0.000006779666819056729,1.7216043701751005e-8,-0.002308280672878027,-0.012895727530121803;3.46949996510304e-10,0.22339998185634613,0.03104034997522831,-0.49863436818122864;0.4048609435558319,-0.12249217182397842,0.035787757486104965,-0.04514322802424431
;-84.11797332763672;-0.000006783307526347926,1.7190187051596695e-8,-0.002309841103851795,-0.012838691473007202;3.464337428038533e-10,0.22339250147342682,0.030889488756656647,-0.4982110857963562;0.40453729033470154,-0.12250009179115295,0.035766493529081345,-0.04514385759830475
;-84.12019348144531;-0.000006786911853851052,1.7164362375865494e-8,-0.0023113987408578396,-0.012781921774148941;3.459182107423686e-10,0.22338499128818512,0.03073929436504841,-0.49779012799263;0.40421345829963684,-0.12250799685716629,0.03574533760547638,-0.04514448344707489
;-84.12240600585938;-0.000006790532097511459,1.7138695795893e-8,-0.002312954980880022,-0.01272539608180523;3.454061481278359e-10,0.22337765991687775,0.0305899940431118,-0.4973612129688263;0.40389174222946167,-0.12251601368188858,0.03572378307580948,-0.04514510929584503
;-84.12461853027344;-0.000006794094588258304,1.7113061190343615e-8,-0.002314509591087699,-0.01266913115978241;3.4489444633578614e-10,0.2233702540397644,0.03044135309755802,-0.4969269335269928;0.4035698473453522,-0.12252411246299744,0.035701967775821686,-0.045145731419324875
;-84.1268310546875;-0.00000679761706123827,1.70874567828605e-8,-0.0023160616401582956,-0.012613123282790184;3.443830498550682e-10,0.22336284816265106,0.03029337339103222,-0.4965173602104187;0.40324774384498596,-0.12253183871507645,0.035681337118148804,-0.045146360993385315
