voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13394927978516;-0.0000067705200308409985,1.696421136898607e-8,-0.0023254710249602795,-0.01233655121177435;3.419476091170992e-10,0.2236824333667755,0.029848845675587654,-0.4975516200065613;0.4015437066555023,-0.1225188672542572,0.03573659807443619,-0.04513360187411308
;-84.13611602783203;-0.000006774125267838826,1.693915763212317e-8,-0.002327015157788992,-0.012282028794288635;3.414467597551152e-10,0.22367513179779053,0.029703961685299873,-0.4971283972263336;0.4012262225151062,-0.12252677232027054,0.035715337842702866,-0.04513422027230263
;-84.1382827758789;-0.000006777726412110496,1.6914198042172757e-8,-0.0023285578936338425,-0.012227751314640045;3.4094801981687795e-10,0.22366788983345032,0.029559826478362083,-0.49671676754951477;0.40090981125831604,-0.12253449112176895,0.03569463640451431,-0.04513482749462128
;-84.14044952392578;-0.000006781280717405025,1.6889265097574935e-8,-0.002330097835510969,-0.012173720635473728;3.404495851899725e-10,0.2236606627702713,0.029416337609291077,-0.496290922164917;0.400593101978302,-0.12254244089126587,0.03567323461174965,-0.04513544589281082
;-84.1426010131836;-0.000006784825927752536,1.6864424523532762e-8,-0.002331635681912303,-0.012119932100176811;3.3995278814202834e-10,0.22365343570709229,0.029273590072989464,-0.49586057662963867;0.4002774655818939,-0.12255045771598816,0.035651613026857376,-0.04513604938983917
;-84.1447525024414;-0.000006788349310227204,1.6839678096403077e-8,-0.002333173295482993,-0.012066385708749294;3.3945854460704084e-10,0.22364617884159088,0.029131589457392693,-0.49544277787208557;0.39996272325515747,-0.12255828082561493,0.03563058376312256,-0.04513665661215782
;-84.14690399169922;-0.0000067918281274614856,1.6814960090982822e-8,-0.002334707649424672,-0.012013085186481476;3.389646063833851e-10,0.22363899648189545,0.028990214690566063,-0.49502018094062805;0.39964789152145386,-0.12256617099046707,0.03560931980609894,-0.04513726755976677
;-84.14905548095703;-0.0000067952610152133275,1.679026695455832e-8,-0.0023362399078905582,-0.011960028670728207;3.3847097347106114e-10,0.22363179922103882,0.02884947508573532,-0.49459925293922424;0.3993328809738159,-0.12257406115531921,0.03558813035488129,-0.04513787478208542
;-84.15119171142578;-0.000006798684808018152,1.6765666188689465e-8,-0.0023377693723887205,-0.011907205916941166;3.3797939447133274e-10,0.22362463176250458,0.028709465637803078,-0.4941720962524414;0.39901888370513916,-0.12258203327655792,0.03556663170456886,-0.04513847455382347
;-84.15332794189453;-0.0000068020940489077475,1.674116134608994e-8,-0.002339297905564308,-0.011854621581733227;3.374899248953511e-10,0.22361743450164795,0.028570188209414482,-0.4937472939491272;0.3987058103084564,-0.12258997559547424,0.0355452336370945,-0.04513908177614212
;-84.15546417236328;-0.000006805470093240729,1.6716683148843003e-8,-0.002340824343264103,-0.011802277527749538;3.370002332747646e-10,0.2236102819442749,0.02843152917921543,-0.49332138895988464;0.39839258790016174,-0.12259793281555176,0.035523783415555954,-0.04513968527317047
;-84.15760040283203;-0.0000068087870204180945,1.669223159694866e-8,-0.002342348452657461,-0.011750172823667526;3.365113743214465e-10,0.22360308468341827,0.028293486684560776,-0.4929088354110718;0.3980792462825775,-0.12260570377111435,0.03550296276807785,-0.04514028877019882
;-84.15972900390625;-0.000006812060291849775,1.6667804914050066e-8,-0.0023438690695911646,-0.01169830746948719;3.360228206794602e-10,0.22359591722488403,0.028156057000160217,-0.4924975335597992;0.3977656960487366,-0.12261344492435455,0.03548220172524452,-0.04514089226722717
;-84.16184997558594;-0.0000068153517531754915,1.664353810326702e-8,-0.0023453880567103624,-0.011646666564047337;3.3553804179575764e-10,0.22358879446983337,0.028019452467560768,-0.49207618832588196;0.39745426177978516,-0.1226213350892067,0.0354609414935112,-0.045141492038965225
;-84.16397094726562;-0.000006818616384407505,1.6619294385122885e-8,-0.0023469056468456984,-0.01159526128321886;3.3505359597896245e-10,0.22358164191246033,0.02788345329463482,-0.49166369438171387;0.3971427381038666,-0.12262910604476929,0.0354401059448719,-0.04514209181070328
;-84.16609191894531;-0.00000682181962474715,1.659507731233134e-8,-0.002348421374335885,-0.011544092558324337;3.345690113842892e-10,0.22357453405857086,0.02774805761873722,-0.4912402033805847;0.39683103561401367,-0.12263704836368561,0.035418733954429626,-0.04514269158244133
;-84.16820526123047;-0.000006824983302067267,1.657088510853555e-8,-0.0023499338421970606,-0.01149316132068634;3.3408520394573316e-10,0.22356736660003662,0.027613269165158272,-0.49083030223846436;0.3965192139148712,-0.12264478951692581,0.035398006439208984,-0.04514329507946968
;-84.17031860351562;-0.000006828140158177121,1.6546785275295406e-8,-0.0023514442145824432,-0.011442452669143677;3.3360339490862145e-10,0.22356028854846954,0.027479179203510284,-0.4904137849807739;0.39620834589004517,-0.12265262752771378,0.03537694737315178,-0.045143891125917435
;-84.17242431640625;-0.000006831292466813466,1.6522774259897233e-8,-0.0023529527243226767,-0.011391972191631794;3.3312322345047107e-10,0.22355324029922485,0.027345795184373856,-0.4900081157684326;0.39589837193489075,-0.12266030162572861,0.035356417298316956,-0.04514448344707489
;-84.17453002929688;-0.000006834387477283599,1.649879344256533e-8,-0.002354459371417761,-0.011341722682118416;3.326437458817111e-10,0.2235461324453354,0.027213003486394882,-0.4895918369293213;0.39558836817741394,-0.12266813963651657,0.03533536195755005,-0.04514508321881294
;-84.1766357421875;-0.000006837453838670626,1.64748339415155e-8,-0.002355963457375765,-0.011291702277958393;3.321646291354341e-10,0.2235390841960907,0.027080804109573364,-0.4891775846481323;0.3952782154083252,-0.12267595529556274,0.03531439229846001,-0.0451456755399704
;-84.1787338256836;-0.000006840463811386144,1.645090108581826e-8,-0.002357464749366045,-0.011241910979151726;3.316853458557034e-10,0.22353196144104004,0.026949187740683556,-0.4887681007385254;0.3949679136276245,-0.12268369644880295,0.03529364988207817,-0.04514627158641815
;-84.18083190917969;-0.000006843474238849012,1.642705882431983e-8,-0.0023589637130498886,-0.011192342266440392;3.312085050666269e-10,0.22352491319179535,0.02681826800107956,-0.4883582890033722;0.39465853571891785,-0.12269144505262375,0.03527288883924484,-0.04514686390757561
;-84.18292236328125;-0.000006846472388133407,1.6403307157020208e-8,-0.002360460814088583,-0.011142994277179241;3.3073332961208735e-10,0.22351792454719543,0.026688026264309883,-0.4879581928253174;0.39435020089149475,-0.12269905209541321,0.03525259345769882,-0.045147452503442764
;-84.18501281738281;-0.000006849419605714502,1.637958213507318e-8,-0.002361956285312772,-0.011093872599303722;3.3025882029136255e-10,0.22351089119911194,0.026558371260762215,-0.4875440299510956;0.39404162764549255,-0.12270687520503998,0.03523160144686699,-0.04514804854989052
;-84.18710327148438;-0.000006852339993201895,1.635588020576506e-8,-0.002363449428230524,-0.011044977232813835;3.2978467179312076e-10,0.22350385785102844,0.026429293677210808,-0.48713192343711853;0.3937329649925232,-0.12271466851234436,0.03521070256829262,-0.045148637145757675
;-84.18917846679688;-0.000006855245828774059,1.6332265317942074e-8,-0.0023649397771805525,-0.010996297001838684;3.2931207760711345e-10,0.22349686920642853,0.02630089409649372,-0.48672759532928467;0.393425315618515,-0.1227223351597786,0.03519017621874809,-0.04514922574162483
;-84.19125366210938;-0.000006858145752630662,1.6308744577031575e-8,-0.0023664289619773626,-0.010947835631668568;3.2884198142291154e-10,0.2234898805618286,0.026173165068030357,-0.4863350987434387;0.393118679523468,-0.1227298378944397,0.03517022728919983,-0.04514981433749199
;-84.19332122802734;-0.000006861005203973036,1.628524692875999e-8,-0.00236791605129838,-0.010899596847593784;3.2837171870525594e-10,0.2234829217195511,0.02604600600898266,-0.48594629764556885;0.39281177520751953,-0.12273727357387543,0.035150445997714996,-0.04515039548277855
;-84.19538116455078;-0.000006863876933493884,1.626190559989027e-8,-0.0023694015108048916,-0.010851564817130566;3.279056748350939e-10,0.22347600758075714,0.02591962181031704,-0.48554569482803345;0.39250704646110535,-0.12274489551782608,0.0351300872862339,-0.04515098035335541
;-84.19744110107422;-0.000006866717740194872,1.6238585587302623e-8,-0.0023708867374807596,-0.010803756304085255;3.274394366759026e-10,0.2234691083431244,0.02579379454255104,-0.4851503372192383;0.3922021687030792,-0.12275242805480957,0.035109974443912506,-0.04515156149864197
;-84.19949340820312;-0.000006869518983876333,1.6215293996424407e-8,-0.00237236893735826,-0.010756165720522404;3.269739756728285e-10,0.22346214950084686,0.02566852793097496,-0.48475855588912964;0.3918972313404083,-0.12275991588830948,0.03509003296494484,-0.04515214264392853
;-84.2015380859375;-0.000006872342055430636,1.619215694859122e-8,-0.0023738504387438297,-0.010708780027925968;3.2651178982767703e-10,0.22345533967018127,0.025544021278619766,-0.48435360193252563;0.391594260931015,-0.1227676048874855,0.03506943956017494,-0.04515272378921509
;-84.20358276367188;-0.000006875126018712763,1.616904832246746e-8,-0.0023753305431455374,-0.010661610402166843;3.2604990929385735e-10,0.22344844043254852,0.025420071557164192,-0.4839552044868469;0.39129123091697693,-0.12277520447969437,0.03504916653037071,-0.04515330120921135
;-84.20562744140625;-0.0000068778704189753626,1.6145961012625776e-8,-0.0023768083192408085,-0.010614657774567604;3.255887504050037e-10,0.22344155609607697,0.025296667590737343,-0.48356565833091736;0.3909881114959717,-0.12278265506029129,0.03502931073307991,-0.04515387862920761
;-84.20767211914062;-0.00000688057252773433,1.6122900348136682e-8,-0.0023782833013683558,-0.010567919351160526;3.251273694715451e-10,0.223434716463089,0.025173813104629517,-0.4831567108631134;0.39068475365638733,-0.12279041856527328,0.0350085012614727,-0.04515445604920387
;-84.20970916748047;-0.0000068832378019578755,1.609986455264334e-8,-0.00237975618802011,-0.010521394200623035;3.2466632160499387e-10,0.22342786192893982,0.025051509961485863,-0.48276597261428833;0.3903813362121582,-0.1227978989481926,0.03498857468366623,-0.045155033469200134
;-84.21173858642578;-0.000006885926268296316,1.6076981523838185e-8,-0.0023812276776880026,-0.010475066490471363;3.24209437074785e-10,0.22342102229595184,0.024929944425821304,-0.48236289620399475;0.3900800049304962,-0.12280558049678802,0.03496804088354111,-0.0451556034386158
;-84.2137680053711;-0.000006888576081109932,1.6054123364028783e-8,-0.0023826968390494585,-0.010428951121866703;3.2375241376669806e-10,0.22341428697109222,0.02480892837047577,-0.4819704592227936;0.3897785246372223,-0.12281308323144913,0.034948017448186874,-0.04515618085861206
