voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;9.563517570495605;-9.396162291927065e-17,0.010072531178593636,-0.9077237844467163,0.40999332070350647;0.09851603955030441,0.3910302221775055,0.19514745473861694,-0.11260013282299042;0.009804091416299343,-0.058008067309856415,0.06930916011333466,-0.017922036349773407
;9.531721115112305;-9.560513815218491e-17,0.010083332657814026,-0.9075038433074951,0.4106820523738861;0.09799869358539581,0.39101463556289673,0.195431649684906,-0.1125832125544548;0.009832004085183144,-0.058035243302583694,0.06927679479122162,-0.0179312564432621
;9.499799728393555;-9.728395083619804e-17,0.010094190947711468,-0.9072819352149963,0.41136977076530457;0.0974818542599678,0.39099910855293274,0.19571629166603088,-0.11256679147481918;0.009860112331807613,-0.05806250497698784,0.06924436241388321,-0.01794051006436348
;9.467753410339355;-9.899892123914708e-17,0.010105110704898834,-0.90705806016922,0.41205674409866333;0.09696558117866516,0.3909834027290344,0.19600145518779755,-0.11254886537790298;0.009888404048979282,-0.05808991193771362,0.06921165436506271,-0.017949800938367844
;9.435583114624023;-1.0075094933353849e-16,0.010116086341440678,-0.906832218170166,0.4127434194087982;0.09644979983568192,0.3909677267074585,0.19628708064556122,-0.11253128945827484;0.009916894137859344,-0.058117423206567764,0.06917884945869446,-0.017959127202630043
;9.403286933898926;-1.0254091523954404e-16,0.010127117857336998,-0.9066044688224792,0.41342905163764954;0.09593462198972702,0.39095190167427063,0.19657322764396667,-0.11251690238714218;0.00994557049125433,-0.0581449419260025,0.06914627552032471,-0.017968490719795227
;9.370866775512695;-1.0436968584244568e-16,0.010138208046555519,-0.9063748717308044,0.4141140878200531;0.09542001783847809,0.39093613624572754,0.19685988128185272,-0.11250428855419159;0.00997444149106741,-0.05817251652479172,0.06911377608776093,-0.017977889627218246
;9.338321685791016;-1.0623841919510098e-16,0.010149354115128517,-0.9061428904533386,0.4147978723049164;0.09490600973367691,0.39092016220092773,0.19714699685573578,-0.11249545216560364;0.010003505274653435,-0.058200087398290634,0.06908157467842102,-0.01798732578754425
;9.305651664733887;-1.0814778365944488e-16,0.010160556994378567,-0.9059094190597534,0.4154808819293976;0.09439262747764587,0.39090418815612793,0.197434663772583,-0.11248530447483063;0.010032766498625278,-0.058227796107530594,0.06904909759759903,-0.01799679547548294
;9.272855758666992;-1.1009893728833496e-16,0.010171815752983093,-0.9056738018989563,0.41616302728652954;0.09387989342212677,0.3908880650997162,0.19772283732891083,-0.11247526109218597;0.01006222516298294,-0.05825561285018921,0.06901651620864868,-0.018006304278969765
;9.239933967590332;-1.120929918125145e-16,0.010183131322264671,-0.9054358005523682,0.4168442189693451;0.09336777031421661,0.39087194204330444,0.19801153242588043,-0.11246562749147415;0.010091876611113548,-0.05828351899981499,0.06898386031389236,-0.018015848472714424
;9.206886291503906;-1.1413072809048172e-16,0.010194501839578152,-0.9051962494850159,0.4175252318382263;0.09285632520914078,0.3908557593822479,0.19830076396465302,-0.11246161162853241;0.01012173667550087,-0.05831136927008629,0.06895170360803604,-0.018025429919362068
;9.173712730407715;-1.1621362181244945e-16,0.010205928236246109,-0.904954731464386,0.4182050824165344;0.09234556555747986,0.39083945751190186,0.1985905021429062,-0.11245447397232056;0.010151795111596584,-0.05833941698074341,0.06891906261444092,-0.018035046756267548
;9.140412330627441;-1.1834246707180572e-16,0.010217411443591118,-0.9047111868858337,0.41888439655303955;0.09183548390865326,0.390823096036911,0.19888079166412354,-0.11244896799325943;0.010182048194110394,-0.058367520570755005,0.06888649612665176,-0.018044698983430862
;9.10698413848877;-1.2051869323664903e-16,0.010228946805000305,-0.9044656753540039,0.419562965631485;0.09132609516382217,0.3908066749572754,0.19917155802249908,-0.11244313418865204;0.01021252665668726,-0.05839574337005615,0.06885375082492828,-0.01805439032614231
;9.073429107666016;-1.2274327968882465e-16,0.010240538977086544,-0.9042180180549622,0.42024025321006775;0.0908174216747284,0.3907901346683502,0.19946293532848358,-0.1124405637383461;0.010243191383779049,-0.058423981070518494,0.0688212588429451,-0.018064118921756744
