voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13082122802734;-0.000006772122560505522,1.7006843933131677e-8,-0.002323208609595895,-0.012409918941557407;3.427954309298542e-10,0.2236335277557373,0.030028700828552246,-0.4980612099170685;0.40210700035095215,-0.1225094348192215,0.035760991275310516,-0.04513527452945709
;-84.13300323486328;-0.000006775751444365596,1.6981671180360536e-8,-0.0023247557692229748,-0.012355071492493153;3.422923333662453e-10,0.2236262410879135,0.029882928356528282,-0.4976322650909424;0.40178874135017395,-0.1225174143910408,0.035739466547966,-0.04513589292764664
;-84.13517761230469;-0.000006779352133889915,1.6956590798145044e-8,-0.002326300833374262,-0.012300466187298298;3.41791289715232e-10,0.22361893951892853,0.029737912118434906,-0.49720117449760437;0.401471346616745,-0.12252543121576309,0.035717833787202835,-0.045136500149965286
;-84.13734436035156;-0.0000067829246290784795,1.6931538837638982e-8,-0.0023278442677110434,-0.012246111407876015;3.4129060688670165e-10,0.22361163794994354,0.02959354966878891,-0.496761679649353;0.40115395188331604,-0.12253358215093613,0.03569578006863594,-0.04513711854815483
;-84.13951110839844;-0.0000067864734774047974,1.690657924768857e-8,-0.002329385606572032,-0.012192001566290855;3.407919779707669e-10,0.22360441088676453,0.029449930414557457,-0.49634265899658203;0.40083733201026917,-0.12254142016172409,0.03567470982670784,-0.04513772949576378
;-84.14167785644531;-0.000006789980943722185,1.6881649855804426e-8,-0.0023309236858040094,-0.01213813852518797;3.402936821217395e-10,0.22359713912010193,0.029306944459676743,-0.4959328770637512;0.4005206823348999,-0.1225491389632225,0.03565407544374466,-0.04513833671808243
;-84.14382934570312;-0.000006793463398935273,1.6856811058119092e-8,-0.0023324601352214813,-0.01208451483398676;3.397974679408833e-10,0.2235899716615677,0.029164711013436317,-0.49550923705101013;0.40020501613616943,-0.12255705147981644,0.03563276678323746,-0.045138947665691376
;-84.14598083496094;-0.000006796948582632467,1.6832066407346247e-8,-0.0023339949548244476,-0.012031128630042076;3.3930333542819824e-10,0.22358272969722748,0.029023222625255585,-0.4950958490371704;0.3998902440071106,-0.12256481498479843,0.03561195358633995,-0.045139554888010025
;-84.14813232421875;-0.000006800381470384309,1.6807346625569153e-8,-0.0023355279117822647,-0.011977989226579666;3.3880950822684497e-10,0.22357556223869324,0.028882352635264397,-0.4946765899658203;0.3995753824710846,-0.12257266789674759,0.03559083864092827,-0.045140162110328674
;-84.15027618408203;-0.00000680376751915901,1.6782658818215168e-8,-0.00233705947175622,-0.01192509289830923;3.383160140923991e-10,0.2235683649778366,0.02874210849404335,-0.49425485730171204;0.3992603123188019,-0.12258056551218033,0.03556959703564644,-0.04514077305793762
;-84.15241241455078;-0.000006807168119848939,1.675812910661989e-8,-0.0023385880049318075,-0.011872424744069576;3.3782593389375393e-10,0.22356119751930237,0.028602713719010353,-0.49383121728897095;0.3989473879337311,-0.12258848547935486,0.03554826229810715,-0.045141372829675674
;-84.15454864501953;-0.000006810526883782586,1.6733627816734042e-8,-0.002340114675462246,-0.011820000596344471;3.3733654758449916e-10,0.22355398535728455,0.028463933616876602,-0.4934159517288208;0.39863425493240356,-0.12259628623723984,0.03552732616662979,-0.045141976326704025
;-84.15668487548828;-0.000006813851996412268,1.6709153172200786e-8,-0.0023416392505168915,-0.011767814867198467;3.3684746658657616e-10,0.2235468178987503,0.028325766324996948,-0.49299952387809753;0.3983210325241089,-0.12260410189628601,0.035506319254636765,-0.045142583549022675
;-84.15880584716797;-0.000006817150733695598,1.6684770898223178e-8,-0.002343161730095744,-0.011715861037373543;3.3636046725682434e-10,0.22353966534137726,0.028188319876790047,-0.4925976097583771;0.39800870418548584,-0.12261170893907547,0.035486020147800446,-0.04514318332076073
;-84.16092681884766;-0.000006820454018452438,1.666048099480122e-8,-0.002344682812690735,-0.011664139106869698;3.358755495952437e-10,0.2235325574874878,0.028051596134901047,-0.4921942353248596;0.39769744873046875,-0.12261933088302612,0.03546563535928726,-0.04514378681778908
;-84.16304779052734;-0.000006823699550295714,1.663622128944553e-8,-0.00234620226547122,-0.01161265280097723;3.3539049315578495e-10,0.22352539002895355,0.027915475890040398,-0.49179306626319885;0.39738601446151733,-0.12262693047523499,0.03544534742832184,-0.04514438286423683
;-84.1651611328125;-0.000006826900062151253,1.6611982900371913e-8,-0.0023477189242839813,-0.011561407707631588;3.3490615836129223e-10,0.2235182821750641,0.02777995727956295,-0.4913933277130127;0.397074431180954,-0.12263450026512146,0.035425130277872086,-0.04514498636126518
