voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.19847106933594;-0.000006626552476518555,1.622650813715154e-8,-0.002336116274818778,-0.011594381183385849;3.2721095277743473e-10,0.22317126393318176,0.02784818597137928,-0.48595473170280457;0.3920537829399109,-0.12274298071861267,0.03514200076460838,-0.04516452178359032
;-84.20051574707031;-0.0000066302700361120515,1.6203388852886746e-8,-0.002337648067623377,-0.011543139815330505;3.2674868366555643e-10,0.2231644243001938,0.027713119983673096,-0.4855407774448395;0.39175093173980713,-0.12275079637765884,0.035120993852615356,-0.04516509920358658
;-84.20256042480469;-0.000006633963494095951,1.6180296213974543e-8,-0.002339176833629608,-0.011492137797176838;3.262870806874929e-10,0.22315756976604462,0.027578651905059814,-0.48514702916145325;0.391448050737381,-0.12275829911231995,0.035100966691970825,-0.04516568034887314
;-84.20459747314453;-0.00000663760511088185,1.6157226667701252e-8,-0.0023407030384987593,-0.011441366747021675;3.258253111759757e-10,0.22315070033073425,0.027444781735539436,-0.48473939299583435;0.39114493131637573,-0.12276602536439896,0.03508025407791138,-0.0451662577688694
;-84.20662689208984;-0.000006641273557761451,1.613430988811615e-8,-0.002342227613553405,-0.011390816420316696;3.253673164227422e-10,0.22314387559890747,0.02731173112988472,-0.48434826731681824;0.3908439576625824,-0.12277348339557648,0.035060346126556396,-0.04516683146357536
;-84.20865631103516;-0.000006644895620411262,1.61114179775268e-8,-0.0023437505587935448,-0.011340497992932796;3.249100433144747e-10,0.22313711047172546,0.027179265394806862,-0.4839509427547455;0.3905428349971771,-0.12278105318546295,0.03504012152552605,-0.04516740143299103
;-84.21068572998047;-0.000006648472208325984,1.60885509359332e-8,-0.002345271408557892,-0.011290406808257103;3.244525204060267e-10,0.22313033044338226,0.027047395706176758,-0.4835543632507324;0.3902416229248047,-0.12278860807418823,0.03501993045210838,-0.04516797140240669
;-84.21270751953125;-0.000006652008323726477,1.6065706986978512e-8,-0.0023467896971851587,-0.01124054379761219;3.2399538607563727e-10,0.22312352061271667,0.026916110888123512,-0.4831443428993225;0.38994017243385315,-0.12279638648033142,0.0349990651011467,-0.045168548822402954
;-84.2147216796875;-0.000006655576271441532,1.6043019357425692e-8,-0.0023483058903366327,-0.011190896853804588;3.2354194323680474e-10,0.22311677038669586,0.026785625144839287,-0.48275262117385864;0.3896409273147583,-0.12280386686325073,0.03497910127043724,-0.04516911879181862
;-84.21673583984375;-0.000006659091468463885,1.6020354820511784e-8,-0.002349821152165532,-0.011141479015350342;3.23089166531787e-10,0.22311000525951385,0.026655716821551323,-0.4823474884033203;0.3893415033817291,-0.12281154841184616,0.03495847061276436,-0.045169685035943985
;-84.21875;-0.00000666256210024585,1.5997715152593628e-8,-0.0023513336200267076,-0.011092286556959152;3.2263627880446677e-10,0.22310322523117065,0.02652639150619507,-0.4819626808166504;0.3890419900417328,-0.12281893938779831,0.03493882715702057,-0.04517025500535965
;-84.22074890136719;-0.000006666025001322851,1.5975162526160602e-8,-0.0023528439924120903,-0.011043313890695572;3.221853894785909e-10,0.22309653460979462,0.026397747918963432,-0.481566458940506;0.38874348998069763,-0.12282650172710419,0.03491862118244171,-0.045170821249485016
;-84.22274780273438;-0.000006669478807452833,1.5952700493926386e-8,-0.002354352967813611,-0.010994559153914452;3.217364430430081e-10,0.22308984398841858,0.026269782334566116,-0.48116642236709595;0.3884459435939789,-0.12283411622047424,0.034898221492767334,-0.045171383768320084
;-84.22474670410156;-0.000006672885319858324,1.593026333068792e-8,-0.00235586054623127,-0.010946028865873814;3.212882460079669e-10,0.22308313846588135,0.026142384856939316,-0.4807516038417816;0.3881482779979706,-0.122841976583004,0.03487708792090416,-0.04517195001244545
;-84.22674560546875;-0.000006676249086012831,1.590784926008837e-8,-0.0023573660291731358,-0.010897724889218807;3.208397991727452e-10,0.2230764478445053,0.02601555362343788,-0.4803652763366699;0.38785043358802795,-0.12284938991069794,0.03485734388232231,-0.04517251253128052
;-84.22874450683594;-0.000006679586022073636,1.588545472941405e-8,-0.0023588682524859905,-0.010849639773368835;3.203917131600065e-10,0.22306977212429047,0.025889292359352112,-0.4799674153327942;0.3875524401664734,-0.1228569895029068,0.0348370261490345,-0.045173078775405884
;-84.2307357788086;-0.000006682868388452334,1.5863090396806e-8,-0.0023603676818311214,-0.010801774449646473;3.1994382143629707e-10,0.22306306660175323,0.02576358988881111,-0.4795781672000885;0.38725441694259644,-0.12286445498466492,0.03481712192296982,-0.04517364129424095
;-84.23271942138672;-0.000006686173946945928,1.5840871725458783e-8,-0.002361865481361747,-0.010754118673503399;3.194996767152958e-10,0.22305642068386078,0.025638656690716743,-0.4791763126850128;0.38695845007896423,-0.12287212163209915,0.03479660302400589,-0.04517420381307602
;-84.23470306396484;-0.000006689451311103767,1.5818679699464155e-8,-0.0023633616510778666,-0.01070667989552021;3.19055781794475e-10,0.2230498045682907,0.025514282286167145,-0.4787716269493103;0.3866623640060425,-0.12287983298301697,0.034775927662849426,-0.04517476260662079
;-84.23668670654297;-0.000006692675015074201,1.57965089897516e-8,-0.0023648557253181934,-0.010659457184374332;3.1861216442941043e-10,0.22304314374923706,0.025390466675162315,-0.47836318612098694;0.3863661587238312,-0.12288760393857956,0.034755054861307144,-0.04517532140016556
;-84.2386703491211;-0.000006695857791783055,1.5774363149034798e-8,-0.00236634723842144,-0.010612454265356064;3.1816876910895076e-10,0.2230364978313446,0.02526719868183136,-0.47797727584838867;0.38606977462768555,-0.1228950247168541,0.034735292196273804,-0.045175883919000626
;-84.24065399169922;-0.000006699011919408804,1.575223507188639e-8,-0.002367836656048894,-0.010565663687884808;3.1772567909982286e-10,0.22302989661693573,0.025144482031464577,-0.4775807857513428;0.38577330112457275,-0.12290262430906296,0.03471500426530838,-0.045176442712545395
;-84.24263000488281;-0.000006702112841594499,1.5730131863733732e-8,-0.0023693228140473366,-0.010519090108573437;3.172832274689341e-10,0.2230232208967209,0.025022314861416817,-0.4771965444087982;0.3854767084121704,-0.1229100376367569,0.034695304930210114,-0.04517700523138046
