voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.2262954711914;-0.000006539543392136693,1.592217913071181e-8,-0.0023355160374194384,-0.011405251920223236;3.211142185488569e-10,0.22284451127052307,0.027292829006910324,-0.48055803775787354;0.38806861639022827,-0.12284781038761139,0.0348614938557148,-0.045182447880506516
;-84.22830963134766;-0.000006543316430906998,1.589961406978091e-8,-0.0023370422422885895,-0.011354842223227024;3.2066252431128817e-10,0.22283779084682465,0.02716018259525299,-0.480156809091568;0.3877685070037842,-0.12285546958446503,0.03484100103378296,-0.04518301412463188
;-84.2303237915039;-0.000006547051725647179,1.587707210148892e-8,-0.0023385656531900167,-0.01130466628819704;3.202111076294756e-10,0.22283105552196503,0.027028119191527367,-0.47974878549575806;0.38746824860572815,-0.12286324054002762,0.03482016921043396,-0.045183584094047546
;-84.23233032226562;-0.000006550779744429747,1.5854615398325222e-8,-0.0023400867357850075,-0.01125471480190754;3.197616615935317e-10,0.2228243052959442,0.026896759867668152,-0.4793461859226227;0.3871689736843109,-0.12287092953920364,0.03479960560798645,-0.04518415033817291
;-84.23432922363281;-0.000006554451829288155,1.5832181787800437e-8,-0.0023416050244122744,-0.01120498962700367;3.193125208689196e-10,0.2228175699710846,0.026765985414385796,-0.47896742820739746;0.3868696093559265,-0.12287825345993042,0.03478020429611206,-0.04518471658229828
;-84.236328125;-0.000006558130735356826,1.580983521876078e-8,-0.0023431216832250357,-0.011155487969517708;3.188657393682348e-10,0.22281092405319214,0.026635903865098953,-0.4785827696323395;0.3865711987018585,-0.12288566678762436,0.034760501235723495,-0.045185282826423645
;-84.23831176757812;-0.000006561779628100339,1.5787575691206257e-8,-0.0023446374107152224,-0.011106208898127079;3.1842056769093574e-10,0.2228042334318161,0.026506509631872177,-0.4782041609287262;0.3862737715244293,-0.12289297580718994,0.034741099923849106,-0.04518584534525871
;-84.24029541015625;-0.000006565434887306765,1.5765406757850542e-8,-0.002346150577068329,-0.01105714775621891;3.1797733890392976e-10,0.22279760241508484,0.02637779898941517,-0.4778008759021759;0.3859774172306061,-0.12290067970752716,0.034720469266176224,-0.04518640413880348
;-84.24227905273438;-0.000006569034212589031,1.574326091713374e-8,-0.002347662579268217,-0.011008312925696373;3.175343599171043e-10,0.22279101610183716,0.026249663904309273,-0.47742071747779846;0.3856808543205261,-0.12290802597999573,0.03470097854733467,-0.04518696665763855
;-84.2442626953125;-0.00000657260898151435,1.572113639269901e-8,-0.0023491729516535997,-0.010959702543914318;3.1709165848603504e-10,0.22278434038162231,0.026122096925973892,-0.47702038288116455;0.38538414239883423,-0.12291569262742996,0.034680478274822235,-0.04518752172589302
;-84.24624633789062;-0.000006576122814294649,1.569903851361687e-8,-0.002350680995732546,-0.010911314748227596;3.166492068551463e-10,0.22277769446372986,0.025995103642344475,-0.4766324758529663;0.38508734107017517,-0.12292316555976868,0.034660592675209045,-0.04518808424472809
;-84.24821472167969;-0.000006579636192327598,1.5677022346949343e-8,-0.0023521860130131245,-0.010863144882023335;3.1620872587012627e-10,0.22277112305164337,0.02586877904832363,-0.47625723481178284;0.3847915828227997,-0.12293044477701187,0.0346413217484951,-0.04518864303827286
;-84.25018310546875;-0.0000065831354731926695,1.5655098550837465e-8,-0.002353689633309841,-0.010815185494720936;3.1577021553097495e-10,0.2227645367383957,0.02574312873184681,-0.4758555591106415;0.3844967782497406,-0.1229381337761879,0.0346207432448864,-0.04518919438123703
;-84.25215148925781;-0.000006586602921743179,1.563319607100766e-8,-0.0023551909253001213,-0.010767449624836445;3.153319827475798e-10,0.2227579802274704,0.025618037208914757,-0.4754750430583954;0.3842018246650696,-0.12294549494981766,0.03460119664669037,-0.0451897531747818
;-84.25411987304688;-0.0000065900126173801254,1.5611316683816767e-8,-0.0023566901218146086,-0.010719933547079563;3.1489399976436516e-10,0.22275137901306152,0.025493500754237175,-0.4750966429710388;0.383906751871109,-0.12295283377170563,0.0345817431807518,-0.04519030451774597
;-84.25607299804688;-0.000006593427315237932,1.5589522561754166e-8,-0.002358186524361372,-0.01067262887954712;3.1445798742701925e-10,0.22274483740329742,0.025369631126523018,-0.4747141897678375;0.383612722158432,-0.12296022474765778,0.03456209599971771,-0.04519085958600044
;-84.25802612304688;-0.000006596832918148721,1.5567815481176694e-8,-0.0023596826940774918,-0.010625534690916538;3.1402391797996643e-10,0.22273826599121094,0.02524641528725624,-0.4743206202983856;0.383319616317749,-0.12296779453754425,0.03454189375042915,-0.045191410928964615
;-84.25997924804688;-0.000006600196684303228,1.5546127940524457e-8,-0.002361177233979106,-0.010578656569123268;3.1359009833309415e-10,0.2227317839860916,0.025123754516243935,-0.47394129633903503;0.38302648067474365,-0.12297514081001282,0.03452238440513611,-0.04519196227192879
;-84.26193237304688;-0.000006603513611480594,1.552446349251113e-8,-0.0023626689799129963,-0.010531993582844734;3.13156556241978e-10,0.2227252572774887,0.025001633912324905,-0.4735548198223114;0.38273313641548157,-0.12298261374235153,0.034502509981393814,-0.04519251361489296
;-84.26387023925781;-0.000006606825991184451,1.5502886085982936e-8,-0.0023641581647098064,-0.010485539212822914;3.1272490153000376e-10,0.2227187603712082,0.024880172684788704,-0.4731789827346802;0.38244083523750305,-0.12298992276191711,0.0344831608235836,-0.045193061232566833
;-84.26580810546875;-0.000006610132459172746,1.5481397497296712e-8,-0.0023656459525227547,-0.010439293459057808;3.1229527297504944e-10,0.22271227836608887,0.02475934848189354,-0.47279632091522217;0.3821496069431305,-0.12299732118844986,0.03446347266435623,-0.04519360885024071
;-84.26774597167969;-0.000006613402547372971,1.545992844853572e-8,-0.0023671325761824846,-0.010393260046839714;3.1186586646470005e-10,0.22270581126213074,0.0246390663087368,-0.47242075204849243;0.38185811042785645,-0.12300461530685425,0.03444412723183632,-0.04519415646791458
;-84.26968383789062;-0.000006616618065891089,1.543848249241364e-8,-0.0023686171043664217,-0.010347438044846058;3.114367097545312e-10,0.22269931435585022,0.02451932057738304,-0.4720311760902405;0.38156658411026,-0.12301214784383774,0.0344240739941597,-0.045194704085588455
;-84.27162170410156;-0.0000066198081185575575,1.5417057852573635e-8,-0.0023700983729213476,-0.010301823727786541;3.1100777508896726e-10,0.22269287705421448,0.02440011315047741,-0.4716486632823944;0.381274938583374,-0.12301956862211227,0.034404363483190536,-0.04519524797797203
;-84.27354431152344;-0.000006622985893045552,1.539571847786192e-8,-0.0023715770803391933,-0.010256417095661163;3.105803947356378e-10,0.22268639504909515,0.024281539022922516,-0.47126200795173645;0.38098421692848206,-0.12302704900503159,0.03438445180654526,-0.045195791870355606
