voltage;INa,Ito,ICaL,IKs;IpK, INaK, IKr, INaCa;IK1, IbCa, IpCa, IbNa
undefined;-84.13916015625;-0.000006761665645171888,1.6904095900827087e-8,-0.0023270905949175358,-0.01225617341697216;3.4074768007208434e-10,0.22363954782485962,0.029652908444404602,-0.49661800265312195;0.40078285336494446,-0.1225367859005928,0.035688940435647964,-0.04513616859912872
;-84.14131927490234;-0.00000676526769893826,1.687917716708398e-8,-0.0023286330979317427,-0.012202016077935696;3.4024938422305695e-10,0.2236323356628418,0.029508939012885094,-0.4962068498134613;0.4004661738872528,-0.12254451215267181,0.03566825017333031,-0.04513677954673767
;-84.14347076416016;-0.000006768896582798334,1.685441830545642e-8,-0.0023301742039620876,-0.012148091569542885;3.3975447455425467e-10,0.2236250787973404,0.02936583012342453,-0.4957805573940277;0.4001515209674835,-0.12255246192216873,0.035646818578243256,-0.04513738676905632
;-84.14562225341797;-0.000006772466349502793,1.682968786553829e-8,-0.0023317134473472834,-0.012094413861632347;3.3926034204156963e-10,0.22361789643764496,0.029223360121250153,-0.4953601658344269;0.39983677864074707,-0.12256032973527908,0.03562567010521889,-0.04513799399137497
;-84.14777374267578;-0.000006775993824703619,1.680498407097275e-8,-0.0023332498967647552,-0.012040981091558933;3.3876648708464074e-10,0.22361068427562714,0.029081517830491066,-0.4949307143688202;0.3995218575000763,-0.12256832420825958,0.035604074597358704,-0.04513860493898392
;-84.14990997314453;-0.000006779509476473322,1.678036909424918e-8,-0.0023347840178757906,-0.011987783014774323;3.3827474155145865e-10,0.22360354661941528,0.028940415009856224,-0.49450162053108215;0.39920783042907715,-0.12257632613182068,0.035582490265369415,-0.04513920471072197
;-84.15204620361328;-0.000006783007393096341,1.675585004079494e-8,-0.0023363169748336077,-0.011934828013181686;3.377850499308721e-10,0.22359637916088104,0.02880004607141018,-0.49407675862312317;0.39889490604400635,-0.122584268450737,0.03556109219789505,-0.04513981193304062
;-84.15418243408203;-0.000006786462563468376,1.6731359409050128e-8,-0.002337847836315632,-0.01188211515545845;3.3729571913276857e-10,0.22358916699886322,0.028660302981734276,-0.4936600625514984;0.3985818028450012,-0.12259207665920258,0.03554009646177292,-0.04514041543006897
;-84.15631866455078;-0.000006789870440115919,1.6706895422657908e-8,-0.002339376136660576,-0.01182964351028204;3.368061940456357e-10,0.22358199954032898,0.028521178290247917,-0.4932457208633423;0.39826858043670654,-0.12259986996650696,0.03551919385790825,-0.04514101892709732
;-84.158447265625;-0.000006793231477786321,1.668245808161828e-8,-0.0023409011773765087,-0.011777413077652454;3.363174183590445e-10,0.22357481718063354,0.02838267758488655,-0.49282926321029663;0.3979550898075104,-0.12260769307613373,0.03549819067120552,-0.04514162242412567
;-84.16056823730469;-0.000006796628440497443,1.6658177059980517e-8,-0.0023424255196005106,-0.0117254089564085;3.3583250069746384e-10,0.22356770932674408,0.028245005756616592,-0.49242380261421204;0.3976437747478485,-0.12261535227298737,0.03547770902514458,-0.045142222195863724
;-84.16268920898438;-0.000006799965831305599,1.6633924460052185e-8,-0.0023439477663487196,-0.011673643253743649;3.3534788834721496e-10,0.22356060147285461,0.02810794860124588,-0.4920111894607544;0.3973323404788971,-0.12262310832738876,0.03545687720179558,-0.045142821967601776
